Year,UNIT_MULT,SDG Series,Unit of measure,Unit multiplier,Value
2019,0,"Direct agriculture loss attributed to disasters [1.5.2, 11.5.2]",USD,Units,291809340.0
2006,6,"Direct economic loss to cultural heritage damaged or destroyed attributed to disasters [1.5.2, 11.5.2]",USD,Millions,0.0
2007,6,"Direct economic loss to cultural heritage damaged or destroyed attributed to disasters [1.5.2, 11.5.2]",USD,Millions,0.0
2008,6,"Direct economic loss to cultural heritage damaged or destroyed attributed to disasters [1.5.2, 11.5.2]",USD,Millions,0.0
2009,6,"Direct economic loss to cultural heritage damaged or destroyed attributed to disasters [1.5.2, 11.5.2]",USD,Millions,0.0
2010,6,"Direct economic loss to cultural heritage damaged or destroyed attributed to disasters [1.5.2, 11.5.2]",USD,Millions,0.0
2011,6,"Direct economic loss to cultural heritage damaged or destroyed attributed to disasters [1.5.2, 11.5.2]",USD,Millions,0.0
2012,6,"Direct economic loss to cultural heritage damaged or destroyed attributed to disasters [1.5.2, 11.5.2]",USD,Millions,0.0
2013,6,"Direct economic loss to cultural heritage damaged or destroyed attributed to disasters [1.5.2, 11.5.2]",USD,Millions,0.0
2014,6,"Direct economic loss to cultural heritage damaged or destroyed attributed to disasters [1.5.2, 11.5.2]",USD,Millions,0.0
2015,6,"Direct economic loss to cultural heritage damaged or destroyed attributed to disasters [1.5.2, 11.5.2]",USD,Millions,0.0
2016,6,"Direct economic loss to cultural heritage damaged or destroyed attributed to disasters [1.5.2, 11.5.2]",USD,Millions,0.0
2017,6,"Direct economic loss to cultural heritage damaged or destroyed attributed to disasters [1.5.2, 11.5.2]",USD,Millions,0.0
2019,6,"Direct economic loss to cultural heritage damaged or destroyed attributed to disasters [1.5.2, 11.5.2]",USD,Millions,49024414.0
2020,6,"Direct economic loss to cultural heritage damaged or destroyed attributed to disasters [1.5.2, 11.5.2]",USD,Millions,0.0
2021,6,"Direct economic loss to cultural heritage damaged or destroyed attributed to disasters [1.5.2, 11.5.2]",USD,Millions,0.0
2022,6,"Direct economic loss to cultural heritage damaged or destroyed attributed to disasters [1.5.2, 11.5.2]",USD,Millions,0.0
2023,6,"Direct economic loss to cultural heritage damaged or destroyed attributed to disasters [1.5.2, 11.5.2]",USD,Millions,0.0
2024,6,"Direct economic loss to cultural heritage damaged or destroyed attributed to disasters [1.5.2, 11.5.2]",USD,Millions,0.0
2006,0,"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2007,0,"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2008,0,"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2009,0,"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2010,0,"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2011,0,"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2012,0,"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2013,0,"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",USD,Units,283140.0
2014,0,"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2015,0,"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2016,0,"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2017,0,"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2019,0,"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",USD,Units,25345622.0
2020,0,"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",USD,Units,149092.0
2021,0,"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2022,0,"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
2023,0,"Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters [1.5.2, 11.5.2]",USD,Units,0.0
