Year,SDG Series,Value
2006,Number of disruptions to basic services attributed to disasters [11.5.3],9
2007,Number of disruptions to basic services attributed to disasters [11.5.3],21
2008,Number of disruptions to basic services attributed to disasters [11.5.3],13
2009,Number of disruptions to basic services attributed to disasters [11.5.3],189
2010,Number of disruptions to basic services attributed to disasters [11.5.3],277
2012,Number of disruptions to basic services attributed to disasters [11.5.3],153
2013,Number of disruptions to basic services attributed to disasters [11.5.3],115
2014,Number of disruptions to basic services attributed to disasters [11.5.3],134
2015,Number of disruptions to basic services attributed to disasters [11.5.3],412
2016,Number of disruptions to basic services attributed to disasters [11.5.3],281
2017,Number of disruptions to basic services attributed to disasters [11.5.3],11
2019,Number of disruptions to basic services attributed to disasters [11.5.3],448
2020,Number of disruptions to basic services attributed to disasters [11.5.3],5
2013,Number of damaged critical infrastructure attributed to disasters [11.5.3],6
2019,Number of damaged critical infrastructure attributed to disasters [11.5.3],343
2020,Number of damaged critical infrastructure attributed to disasters [11.5.3],3
2013,Number of destroyed or damaged educational facilities attributed to disasters [11.5.3],6
2019,Number of destroyed or damaged educational facilities attributed to disasters [11.5.3],300
2020,Number of destroyed or damaged educational facilities attributed to disasters [11.5.3],3
2006,Number of disruptions to educational services attributed to disasters [11.5.3],6
2007,Number of disruptions to educational services attributed to disasters [11.5.3],10
2008,Number of disruptions to educational services attributed to disasters [11.5.3],3
2009,Number of disruptions to educational services attributed to disasters [11.5.3],70
2010,Number of disruptions to educational services attributed to disasters [11.5.3],142
2012,Number of disruptions to educational services attributed to disasters [11.5.3],76
2013,Number of disruptions to educational services attributed to disasters [11.5.3],11
2014,Number of disruptions to educational services attributed to disasters [11.5.3],13
2015,Number of disruptions to educational services attributed to disasters [11.5.3],91
2016,Number of disruptions to educational services attributed to disasters [11.5.3],50
2019,Number of disruptions to educational services attributed to disasters [11.5.3],273
2019,Number of destroyed or damaged health facilities attributed to disasters [11.5.3],43
2006,Number of disruptions to health services attributed to disasters [11.5.3],3
2007,Number of disruptions to health services attributed to disasters [11.5.3],11
2008,Number of disruptions to health services attributed to disasters [11.5.3],10
2009,Number of disruptions to health services attributed to disasters [11.5.3],119
2010,Number of disruptions to health services attributed to disasters [11.5.3],135
2012,Number of disruptions to health services attributed to disasters [11.5.3],77
2013,Number of disruptions to health services attributed to disasters [11.5.3],104
2014,Number of disruptions to health services attributed to disasters [11.5.3],121
2015,Number of disruptions to health services attributed to disasters [11.5.3],321
2016,Number of disruptions to health services attributed to disasters [11.5.3],231
2017,Number of disruptions to health services attributed to disasters [11.5.3],11
2019,Number of disruptions to health services attributed to disasters [11.5.3],168
2020,Number of disruptions to health services attributed to disasters [11.5.3],5
2019,Number of disruptions to other basic services attributed to disasters [11.5.3],7
