Year,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,Custom Breakdown,Label for custom breakdown,Observation-level footnotes,Upper bound value,Lower bound value,Value
2020,Mooring Name: Coral Garden | LATITUDE: -4.00 | LONGITUDE: 39.75; Upper and lower bounds where not provided.,NaN,NaN,Custom code 01,Coral Garden,Mooring Name: Coral Garden | LATITUDE: -4.00 | LONGITUDE: 39.75; Upper and lower bounds where not provided.,NaN,NaN,7.981
2020,Mooring Name:  Diani | LATITUDE: -4.34 | LONGITUDE: 39.58,8.021,7.804,Custom code 02,Diani,Mooring Name:  Diani | LATITUDE: -4.34 | LONGITUDE: 39.58,8.400,7.870,7.904
2021,Mooring Name: Diani | LATITUDE: -4.344 | LONGITUDE: 39.579,8.123,7.947,Custom code 02,Diani,Mooring Name:  Diani | LATITUDE: -4.34 | LONGITUDE: 39.58,8.400,7.870,8.012
2022,Mooring Name: Diani | LATITUDE: -4.344 | LONGITUDE: 39.579,8.132,7.704,Custom code 02,Diani,Mooring Name:  Diani | LATITUDE: -4.34 | LONGITUDE: 39.58,8.400,7.870,7.918
2023,Mooring Name: Diani | LATITUDE: -4.340 | LONGITUDE: 39.579,7.92,7.701,Custom code 02,Diani,Mooring Name:  Diani | LATITUDE: -4.34 | LONGITUDE: 39.58,8.400,7.870,7.82367
2024,Mooring Name:  Diani | LATITUDE: -4.34 | LONGITUDE: 39.58,8.400,7.870,Custom code 02,Diani,Mooring Name:  Diani | LATITUDE: -4.34 | LONGITUDE: 39.58,8.400,7.870,8.135
2020,Mooring Name:  Gazi | LATITUDE: -4.46 | LONGITUDE: 39.53,8.076,7.881,Custom code 03,Gazi,Mooring Name:  Gazi | LATITUDE: -4.46 | LONGITUDE: 39.53,8.010,7.480,7.994
2021,Mooring Name: Gazi | LATITUDE: -4.456 | LONGITUDE: 39.527,8.067,7.923,Custom code 03,Gazi,Mooring Name:  Gazi | LATITUDE: -4.46 | LONGITUDE: 39.53,8.010,7.480,7.984
2022,Mooring Name: Gazi | LATITUDE: -4.456 | LONGITUDE: 39.527,8.086,7.842,Custom code 03,Gazi,Mooring Name:  Gazi | LATITUDE: -4.46 | LONGITUDE: 39.53,8.010,7.480,7.934
2023,Mooring Name: Gazi | LATITUDE: -4.460 | LONGITUDE: 39.527,8.08667,7.95,Custom code 03,Gazi,Mooring Name:  Gazi | LATITUDE: -4.46 | LONGITUDE: 39.53,8.010,7.480,8.01389
2024,Mooring Name:  Gazi | LATITUDE: -4.46 | LONGITUDE: 39.53,8.010,7.480,Custom code 03,Gazi,Mooring Name:  Gazi | LATITUDE: -4.46 | LONGITUDE: 39.53,8.010,7.480,7.745
