Year,NATURE,SOURCE_DETAIL,Sex,Source details,COMMENT_OBS,Value
2000,E,ITU estimate.,,Kenya National Bureau of Statistics,,0.3
2001,E,ITU estimate.,,Kenya National Bureau of Statistics,,0.6
2002,E,ITU estimate.,,Kenya National Bureau of Statistics,,1.2
2003,E,ITU estimate.,,Kenya National Bureau of Statistics,,2.9
2004,E,ITU estimate.,,Kenya National Bureau of Statistics,,3.0
2005,E,ITU estimate.,,Kenya National Bureau of Statistics,,3.1
2006,E,ITU estimate.,,Kenya National Bureau of Statistics,,3.6
2007,E,ITU estimate.,,Kenya National Bureau of Statistics,,4.4
2008,E,ITU estimate.,,Kenya National Bureau of Statistics,,5.2
2009,C,Kenya National Bureau of Statistics,,Kenya National Bureau of Statistics,,6.1
2010,C,National Bureau of Statistics and Communications Commission of Kenya.,,Kenya National Bureau of Statistics,,7.2
2011,E,ITU estimate.,,Kenya National Bureau of Statistics,,8.8
2012,E,ITU estimate.,,Kenya National Bureau of Statistics,,10.5
2013,E,ITU estimate.,,Kenya National Bureau of Statistics,,13.0
2014,E,ITU estimate.,,Kenya National Bureau of Statistics,,16.5
2015,C,KENYA NATIONAL BUREAU OF STATISTICS,,Kenya National Bureau of Statistics,,16.6
2016,C,KENYA NATIONAL BUREAU OF STATISTICS,,Kenya National Bureau of Statistics,Aged 3 and older. ,16.6
2017,E,ITU estimate.,,Kenya National Bureau of Statistics,,17.8
2018,E,ITU estimate.,,Kenya National Bureau of Statistics,Aged 3 and older. ,19.5
2019,C,KENYA NATIONAL BUREAU OF STATISTICS,,Kenya National Bureau of Statistics,Aged 3 and older. ,22.7
2023,C,Kenya National Bureau of Statistics,,Kenya National Bureau of Statistics,,35.0
2009,C,Kenya National Bureau of Statistics,Female,KENYA NATIONAL BUREAU OF STATISTICS,,5.2
2015,C,KENYA NATIONAL BUREAU OF STATISTICS,Female,KENYA NATIONAL BUREAU OF STATISTICS,,13.5
2019,C,KENYA NATIONAL BUREAU OF STATISTICS,Female,KENYA NATIONAL BUREAU OF STATISTICS,Aged 3 and older. ,20.2
2009,C,Kenya National Bureau of Statistics,Male,KENYA NATIONAL BUREAU OF STATISTICS,,6.9
2015,C,KENYA NATIONAL BUREAU OF STATISTICS,Male,KENYA NATIONAL BUREAU OF STATISTICS,,19.8
2019,C,KENYA NATIONAL BUREAU OF STATISTICS,Male,KENYA NATIONAL BUREAU OF STATISTICS,Aged 3 and older. ,25.2
