Year,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Unit of measure,Observation-level footnotes,Source details,Value
2001,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,15.48
2002,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,14.37
2003,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,14.34
2004,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,13.85
2005,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,13.47
2006,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,13.23
2007,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,13.28
2008,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,14.31
2009,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,16.25
2010,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,Agriculture value added share of GDP [2.a.1],Percent,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,17.57
