Year,COMMENT_OBS,Sex,Age,Degree of urbanisation,Composite breakdown,Observation-level footnotes,Value
2015,Reading other informative information,,,,"ICT skill: Reading or downloading on-line newspapers, magazines, or electronic books",Reading other informative information,7.1
2019,Aged 3 and older. Target population is 15 years and above (3 and above for other indicators),,,,ICT skill: Purchasing or ordering goods or services using the Internet,Aged 3 and older. Target population is 15 years and above (3 and above for other indicators),2.9
2015,,,,,"ICT skill: Seeking health information (on injury, disease, nutrition, etc.)",,0.2
2015,,,,,ICT skill: Using Internet banking,,0.6
2015,,,,,ICT skill: Participating in social networks,,12.4
2015,,,,,ICT skill: Telephoning over the Internet/VoIP,,0.2
2019,Target population is 15 years and above (3 and above for other indicators),,,Rural,ICT skill: Purchasing or ordering goods or services using the Internet,Target population is 15 years and above (3 and above for other indicators),1.0
2019,Target population is 15 years and above (3 and above for other indicators),,,Urban,ICT skill: Purchasing or ordering goods or services using the Internet,Target population is 15 years and above (3 and above for other indicators),6.9
2015,,,75 years old and over,,"ICT skill: Reading or downloading on-line newspapers, magazines, or electronic books",,0.6
2019,,,75 years old and over,,ICT skill: Purchasing or ordering goods or services using the Internet,,0.3
2015,,,75 years old and over,,"ICT skill: Seeking health information (on injury, disease, nutrition, etc.)",,0.1
2015,,,75 years old and over,,ICT skill: Using Internet banking,,0.1
2015,,,75 years old and over,,ICT skill: Participating in social networks,,0.2
2015,,,75 years old and over,,ICT skill: Telephoning over the Internet/VoIP,,0.3
2015,this option also include another response captured separately which was : reading other informative information,,under 15 years old,,"ICT skill: Reading or downloading on-line newspapers, magazines, or electronic books",this option also include another response captured separately which was : reading other informative information,0.2
2015,,,under 15 years old,,ICT skill: Doing a formal online course,,0.0
2015,,,under 15 years old,,"ICT skill: Seeking health information (on injury, disease, nutrition, etc.)",,0.0
2015,,,under 15 years old,,ICT skill: Participating in social networks,,0.7
2015,,,under 15 years old,,ICT skill: Telephoning over the Internet/VoIP,,0.0
2015,,,15 to 24 years old,,"ICT skill: Reading or downloading on-line newspapers, magazines, or electronic books",,10.9
2015,,,15 to 24 years old,,ICT skill: Doing a formal online course,,0.4
2015,,,15 to 24 years old,,ICT skill: Purchasing or ordering goods or services using the Internet,,0.3
2019,,,15 to 24 years old,,ICT skill: Purchasing or ordering goods or services using the Internet,,3.3
2015,,,15 to 24 years old,,"ICT skill: Seeking health information (on injury, disease, nutrition, etc.)",,0.3
2015,,,15 to 24 years old,,ICT skill: Using Internet banking,,0.5
2015,,,15 to 24 years old,,ICT skill: Participating in social networks,,23.7
2015,,,15 to 24 years old,,ICT skill: Telephoning over the Internet/VoIP,,0.6
2015,,,25 to 74 years old,,"ICT skill: Reading or downloading on-line newspapers, magazines, or electronic books",,11.4
2015,,,25 to 74 years old,,ICT skill: Doing a formal online course,,0.4
2015,,,25 to 74 years old,,ICT skill: Purchasing or ordering goods or services using the Internet,,0.5
2019,,,25 to 74 years old,,ICT skill: Purchasing or ordering goods or services using the Internet,,5.0
2015,,,25 to 74 years old,,"ICT skill: Seeking health information (on injury, disease, nutrition, etc.)",,0.8
2015,,,25 to 74 years old,,ICT skill: Using Internet banking,,1.3
2015,,,25 to 74 years old,,ICT skill: Participating in social networks,,17.1
2015,,,25 to 74 years old,,ICT skill: Telephoning over the Internet/VoIP,,0.6
2015,,Female,,,"ICT skill: Reading or downloading on-line newspapers, magazines, or electronic books",,5.6
2019,Aged 3 and older. Target population is 15 years and above (3 and above for other indicators),Female,,,ICT skill: Purchasing or ordering goods or services using the Internet,Aged 3 and older. Target population is 15 years and above (3 and above for other indicators),2.5
2015,,Female,,,"ICT skill: Seeking health information (on injury, disease, nutrition, etc.)",,0.4
2015,,Female,,,ICT skill: Using Internet banking,,0.5
2015,,Female,,,ICT skill: Participating in social networks,,10.2
2019,Target population is 15 years and above (3 and above for other indicators),Female,,Rural,ICT skill: Purchasing or ordering goods or services using the Internet,Target population is 15 years and above (3 and above for other indicators),0.8
2019,Target population is 15 years and above (3 and above for other indicators),Female,,Urban,ICT skill: Purchasing or ordering goods or services using the Internet,Target population is 15 years and above (3 and above for other indicators),6.2
2015,,Female,75 years old and over,,"ICT skill: Reading or downloading on-line newspapers, magazines, or electronic books",,0.1
2019,,Female,75 years old and over,,ICT skill: Purchasing or ordering goods or services using the Internet,,0.2
2015,,Female,75 years old and over,,ICT skill: Using Internet banking,,0.1
2015,,Female,75 years old and over,,ICT skill: Participating in social networks,,0.1
2015,,Female,under 15 years old,,"ICT skill: Reading or downloading on-line newspapers, magazines, or electronic books",,0.2
2015,,Female,under 15 years old,,"ICT skill: Seeking health information (on injury, disease, nutrition, etc.)",,0.0
2015,,Female,under 15 years old,,ICT skill: Participating in social networks,,0.7
2015,,Female,under 15 years old,,ICT skill: Telephoning over the Internet/VoIP,,0.1
2015,,Female,15 to 24 years old,,"ICT skill: Reading or downloading on-line newspapers, magazines, or electronic books",,10.8
2015,,Female,15 to 24 years old,,ICT skill: Doing a formal online course,,0.4
2015,,Female,15 to 24 years old,,ICT skill: Purchasing or ordering goods or services using the Internet,,0.2
2019,,Female,15 to 24 years old,,ICT skill: Purchasing or ordering goods or services using the Internet,,3.0
2015,,Female,15 to 24 years old,,"ICT skill: Seeking health information (on injury, disease, nutrition, etc.)",,0.4
2015,,Female,15 to 24 years old,,ICT skill: Using Internet banking,,0.6
2015,,Female,15 to 24 years old,,ICT skill: Participating in social networks,,21.1
2015,,Female,15 to 24 years old,,ICT skill: Telephoning over the Internet/VoIP,,0.6
2015,,Female,25 to 74 years old,,"ICT skill: Reading or downloading on-line newspapers, magazines, or electronic books",,7.9
2015,,Female,25 to 74 years old,,ICT skill: Doing a formal online course,,0.2
2015,,Female,25 to 74 years old,,ICT skill: Purchasing or ordering goods or services using the Internet,,0.3
2019,,Female,25 to 74 years old,,ICT skill: Purchasing or ordering goods or services using the Internet,,4.3
2015,,Female,25 to 74 years old,,"ICT skill: Seeking health information (on injury, disease, nutrition, etc.)",,0.8
2015,,Female,25 to 74 years old,,ICT skill: Using Internet banking,,1.0
2015,,Female,25 to 74 years old,,ICT skill: Participating in social networks,,13.0
2015,,Female,25 to 74 years old,,ICT skill: Telephoning over the Internet/VoIP,,0.6
2015,,Male,,,"ICT skill: Reading or downloading on-line newspapers, magazines, or electronic books",,8.5
2019,Aged 3 and older. Target population is 15 years and above (3 and above for other indicators),Male,,,ICT skill: Purchasing or ordering goods or services using the Internet,Aged 3 and older. Target population is 15 years and above (3 and above for other indicators),3.2
2015,,Male,,,ICT skill: Using Internet banking,,0.7
2015,,Male,,,ICT skill: Participating in social networks,,14.7
2015,,Male,,,ICT skill: Telephoning over the Internet/VoIP,,0.4
2019,Target population is 15 years and above (3 and above for other indicators),Male,,Rural,ICT skill: Purchasing or ordering goods or services using the Internet,Target population is 15 years and above (3 and above for other indicators),1.3
2019,Target population is 15 years and above (3 and above for other indicators),Male,,Urban,ICT skill: Purchasing or ordering goods or services using the Internet,Target population is 15 years and above (3 and above for other indicators),7.6
2015,,Male,75 years old and over,,"ICT skill: Reading or downloading on-line newspapers, magazines, or electronic books",,1.2
2019,,Male,75 years old and over,,ICT skill: Purchasing or ordering goods or services using the Internet,,0.4
2015,,Male,75 years old and over,,"ICT skill: Seeking health information (on injury, disease, nutrition, etc.)",,0.2
2015,,Male,75 years old and over,,ICT skill: Using Internet banking,,0.2
2015,,Male,75 years old and over,,ICT skill: Participating in social networks,,0.4
2015,,Male,75 years old and over,,ICT skill: Telephoning over the Internet/VoIP,,0.7
