Year,NATURE,SOURCE_DETAIL,SDG Series,Sex,Age,Income or wealth quantile,Nature of data points,Source details,Value
2015,E,ILO estimates based on national sources,Proportion of population covered by at least one social protection benefit [1.3.1],,,,Estimated,ILO estimates based on national sources,10.37
2019,E,ILO estimates based on national sources,Proportion of population covered by at least one social protection benefit [1.3.1],,,,Estimated,ILO estimates based on national sources,10.1
2021,E,ILO estimates based on national sources,Proportion of population covered by at least one social protection benefit [1.3.1],,,,Estimated,ILO estimates based on national sources,9.0
2015,E,ILO estimates based on national sources,Proportion of children/households receiving child/family cash benefit [1.3.1],,under 15 years old,,Estimated,ILO estimates based on national sources,8.14
2019,E,ILO estimates based on national sources,Proportion of children/households receiving child/family cash benefit [1.3.1],,under 15 years old,,Estimated,ILO estimates based on national sources,3.6
2021,E,ILO estimates based on national sources,Proportion of children/households receiving child/family cash benefit [1.3.1],,under 15 years old,,Estimated,ILO estimates based on national sources,3.22
2019,E,ILO estimates based on national sources,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,,,Estimated,ILO estimates based on national sources,0.2
2021,E,ILO estimates based on national sources,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,,,Estimated,ILO estimates based on national sources,2.37
2021,E,ILO estimates based on national sources,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],Female,,,Estimated,ILO estimates based on national sources,0.83
2021,E,ILO estimates based on national sources,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],Male,,,Estimated,ILO estimates based on national sources,3.39
2019,E,ILO estimates based on national sources,Proportion of mothers with newborns receiving maternity cash benefit [1.3.1],Female,15 to 49 years old,,Estimated,ILO estimates based on national sources,6.34
2000,E,ILO estimates based on national sources,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,65 years old and over,,Estimated,ILO estimates based on national sources,1.0
2015,E,ILO estimates based on national sources,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,65 years old and over,,Estimated,ILO estimates based on national sources,24.85
2019,E,ILO estimates based on national sources,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,65 years old and over,,Estimated,ILO estimates based on national sources,13.2
2021,E,ILO estimates based on national sources,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,65 years old and over,,Estimated,ILO estimates based on national sources,19.76
2019,E,ILO estimates based on national sources,Proportion of poor population receiving social assistance cash benefit [1.3.1],,,,Estimated,ILO estimates based on national sources,2.5
2021,E,ILO estimates based on national sources,Proportion of poor population receiving social assistance cash benefit [1.3.1],,,,Estimated,ILO estimates based on national sources,3.87
2005,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social assistance programs [1.3.1],,,,Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",20.0235452449627
2015,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social assistance programs [1.3.1],,,,Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",26.4412418205937
2005,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social assistance programs [1.3.1],,,Quintile 1 (poorest),Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",34.3923136083103
2015,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social assistance programs [1.3.1],,,Quintile 1 (poorest),Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",34.506549696752
2005,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social insurance programs [1.3.1],,,,Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",1.90716709007409
2015,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social insurance programs [1.3.1],,,,Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",1.18825729022986
2005,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social insurance programs [1.3.1],,,Quintile 1 (poorest),Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",0.487872737385783
2015,CA,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",Proportion of population covered by social insurance programs [1.3.1],,,Quintile 1 (poorest),Country Adjusted,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",0.220635510752927
2015,E,ILO estimates based on national sources,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],,15 years old and over,,Estimated,ILO estimates based on national sources,0.0
2019,E,ILO estimates based on national sources,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],,15 years old and over,,Estimated,ILO estimates based on national sources,0.0
2020,E,ILO estimates based on national sources,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],,15 years old and over,,Estimated,ILO estimates based on national sources,0.0
2021,E,ILO estimates based on national sources,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],,15 years old and over,,Estimated,ILO estimates based on national sources,0.0
2022,E,ILO estimates based on national sources,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],,15 years old and over,,Estimated,ILO estimates based on national sources,0.0
2015,E,ILO estimates based on national sources,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],Female,15 years old and over,,Estimated,ILO estimates based on national sources,0.0
2019,E,ILO estimates based on national sources,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],Female,15 years old and over,,Estimated,ILO estimates based on national sources,0.0
2020,E,ILO estimates based on national sources,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],Female,15 years old and over,,Estimated,ILO estimates based on national sources,0.0
2021,E,ILO estimates based on national sources,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],Female,15 years old and over,,Estimated,ILO estimates based on national sources,0.0
2022,E,ILO estimates based on national sources,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],Female,15 years old and over,,Estimated,ILO estimates based on national sources,0.0
2015,E,ILO estimates based on national sources,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],Male,15 years old and over,,Estimated,ILO estimates based on national sources,0.0
2019,E,ILO estimates based on national sources,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],Male,15 years old and over,,Estimated,ILO estimates based on national sources,0.0
2020,E,ILO estimates based on national sources,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],Male,15 years old and over,,Estimated,ILO estimates based on national sources,0.0
2021,E,ILO estimates based on national sources,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],Male,15 years old and over,,Estimated,ILO estimates based on national sources,0.0
2022,E,ILO estimates based on national sources,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],Male,15 years old and over,,Estimated,ILO estimates based on national sources,0.0
2015,E,ILO estimates based on national sources,Proportion of vulnerable population receiving social assistance cash benefit [1.3.1],,,,Estimated,ILO estimates based on national sources,5.8
2019,E,ILO estimates based on national sources,Proportion of vulnerable population receiving social assistance cash benefit [1.3.1],,,,Estimated,ILO estimates based on national sources,2.5
2021,E,ILO estimates based on national sources,Proportion of vulnerable population receiving social assistance cash benefit [1.3.1],,,,Estimated,ILO estimates based on national sources,3.6
2019,E,ILO estimates based on national sources,Proportion of employed population covered in the event of work injury [1.3.1],,15 years old and over,,Estimated,ILO estimates based on national sources,12.44
2019,E,ILO estimates based on national sources,Proportion of employed population covered in the event of work injury [1.3.1],Female,15 years old and over,,Estimated,ILO estimates based on national sources,8.98
2019,E,ILO estimates based on national sources,Proportion of employed population covered in the event of work injury [1.3.1],Male,15 years old and over,,Estimated,ILO estimates based on national sources,15.61
