Year,Value
2000,863.3548669999999
2001,575.3298669999999
2002,382.636409
2003,568.685095
2004,717.6242949999996
2005,1070.430662
2006,796.7503090000002
2007,2408.8398710000006
2008,1378.7206359999996
2009,2481.676895
2010,1362.62
2011,3000.838252509677
2012,2749.846126921531
2013,4476.297580175261
2014,3280.034710039256
2015,2605.0772453685668
2016,2682.9172546948084
2017,3298.788352259571
2018,3518.5998158963484
2019,3168.4817180176024
2020,4527.795017802748
2021,3841.314973673616
2022,2925.2237185710505
2023,3079.136303665121
