Year,Economic activity,COMMENT_OBS,Value
2015,,,1
2016,,,1
2017,,,1
2018,,,1
2019,,,1
2020,,,1
2021,,,1
2022,,,1
2023,,Includes 2022 Sustainability Reports published after 1 March 2024,2
2015,Information and communication,,1
2016,Information and communication,,1
2017,Information and communication,,1
2018,Information and communication,,1
2019,Information and communication,,1
2020,Information and communication,,1
2021,Information and communication,,1
2022,Information and communication,,1
2023,Information and communication,Includes 2022 Sustainability Reports published after 1 March 2024,1
2023,Financial and insurance activities,Includes 2022 Sustainability Reports published after 1 March 2024,1
