Year,COMMENT_OBS,Value
2000,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",216.947957
2001,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",120.935828
2002,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",51.289213
2003,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",93.212828
2004,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",114.714345
2005,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",110.195934
2006,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",151.632927
2007,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",180.644572
2008,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",174.009927
2009,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",158.964446
2010,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",245.173756
2011,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",265.5381
2012,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",294.679698
2013,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",361.487722
2014,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",350.465156
2015,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",460.094513
2016,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",510.444436
2017,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",394.016523
2018,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",432.29704
2019,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",557.860819
2020,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",653.899124
2021,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",947.830636
2022,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",715.971867
2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",809.220622
