Year,OBS_STATUS,UNIT_MULT,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Unit of measure,Unit multiplier,Value
2001,E,0,E,3-year average of the period 2000-2002.,Food and Agriculture Organization of the United Nations (FAO),Prevalence of undernourishment [2.1.1],Percent,Units,31.9
2002,E,0,E,3-year average of the period 2001-2003.,Food and Agriculture Organization of the United Nations (FAO),Prevalence of undernourishment [2.1.1],Percent,Units,33.4
2003,E,0,E,3-year average of the period 2002-2004.,Food and Agriculture Organization of the United Nations (FAO),Prevalence of undernourishment [2.1.1],Percent,Units,34.7
2004,E,0,E,3-year average of the period 2003-2005.,Food and Agriculture Organization of the United Nations (FAO),Prevalence of undernourishment [2.1.1],Percent,Units,31.8
2005,E,0,E,3-year average of the period 2004-2006.,Food and Agriculture Organization of the United Nations (FAO),Prevalence of undernourishment [2.1.1],Percent,Units,28.2
2006,E,0,E,3-year average of the period 2005-2007.,Food and Agriculture Organization of the United Nations (FAO),Prevalence of undernourishment [2.1.1],Percent,Units,26
2007,E,0,E,3-year average of the period 2006-2008.,Food and Agriculture Organization of the United Nations (FAO),Prevalence of undernourishment [2.1.1],Percent,Units,26.9
2008,E,0,E,3-year average of the period 2007-2009.,Food and Agriculture Organization of the United Nations (FAO),Prevalence of undernourishment [2.1.1],Percent,Units,26.9
2009,E,0,E,3-year average of the period 2008-2010.,Food and Agriculture Organization of the United Nations (FAO),Prevalence of undernourishment [2.1.1],Percent,Units,24.4
2010,E,0,E,3-year average of the period 2009-2011.,Food and Agriculture Organization of the United Nations (FAO),Prevalence of undernourishment [2.1.1],Percent,Units,21.7
2011,E,0,E,3-year average of the period 2010-2012.,Food and Agriculture Organization of the United Nations (FAO),Prevalence of undernourishment [2.1.1],Percent,Units,19.8
2012,E,0,E,3-year average of the period 2011-2013.,Food and Agriculture Organization of the United Nations (FAO),Prevalence of undernourishment [2.1.1],Percent,Units,18.9
2013,E,0,E,3-year average of the period 2012-2014.,Food and Agriculture Organization of the United Nations (FAO),Prevalence of undernourishment [2.1.1],Percent,Units,18.7
2014,E,0,E,3-year average of the period 2013-2015.,Food and Agriculture Organization of the United Nations (FAO),Prevalence of undernourishment [2.1.1],Percent,Units,18.8
2015,E,0,E,3-year average of the period 2014-2016.,Food and Agriculture Organization of the United Nations (FAO),Prevalence of undernourishment [2.1.1],Percent,Units,20.5
2016,E,0,E,3-year average of the period 2015-2017.,Food and Agriculture Organization of the United Nations (FAO),Prevalence of undernourishment [2.1.1],Percent,Units,21.8
2017,E,0,E,3-year average of the period 2016-2018.,Food and Agriculture Organization of the United Nations (FAO),Prevalence of undernourishment [2.1.1],Percent,Units,23.2
2018,E,0,E,3-year average of the period 2017-2019.,Food and Agriculture Organization of the United Nations (FAO),Prevalence of undernourishment [2.1.1],Percent,Units,22.6
2019,E,0,E,3-year average of the period 2018-2020. Estimates are based on projected values.,Food and Agriculture Organization of the United Nations (FAO),Prevalence of undernourishment [2.1.1],Percent,Units,23.4
2020,E,0,E,3-year average of the period 2019-2021. Estimates are based on projected values.,Food and Agriculture Organization of the United Nations (FAO),Prevalence of undernourishment [2.1.1],Percent,Units,26
