Year,OBS_STATUS,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Unit of measure,Observation status,Nature of data points,Observation-level footnotes,Source details,Value
2016,A,C,Observation provided by the country,Kenya National Bureau of Statistics,Proportion of agricultural land area that has achieved an acceptable or desirable level of variation in water availability [2.4.1],Percent,Missing value,Not Available,NaN = A figure was not provided,NA,58
2018,O,_X,NaN = A figure was not provided,NA,Proportion of agricultural land area that has achieved an acceptable or desirable level of variation in water availability [2.4.1],Percent,Missing value,Not Available,NaN = A figure was not provided,NA,NaN
2019,O,_X,NaN = A figure was not provided,NA,Proportion of agricultural land area that has achieved an acceptable or desirable level of variation in water availability [2.4.1],Percent,Missing value,Not Available,NaN = A figure was not provided,NA,NaN
2020,O,_X,NaN = A figure was not provided,NA,Proportion of agricultural land area that has achieved an acceptable or desirable level of variation in water availability [2.4.1],Percent,Missing value,Not Available,NaN = A figure was not provided,NA,NaN
2021,O,_X,NaN = A figure was not provided,NA,Proportion of agricultural land area that has achieved an acceptable or desirable level of variation in water availability [2.4.1],Percent,Missing value,Not Available,NaN = A figure was not provided,NA,NaN
2022,O,_X,NaN = A figure was not provided,NA,Proportion of agricultural land area that has achieved an acceptable or desirable level of variation in water availability [2.4.1],Percent,Missing value,Not Available,NaN = A figure was not provided,NA,NaN
2023,O,_X,NaN = A figure was not provided,NA,Proportion of agricultural land area that has achieved an acceptable or desirable level of variation in water availability [2.4.1],Percent,Missing value,Not Available,NaN = A figure was not provided,NA,NaN
2010,O,_X,NaN = A figure was not provided,NA,Proportion of agricultural land area that has achieved an acceptable or desirable level of secure tenure rights to agricultural land [2.4.1],Percent,Missing value,Not Available,NaN = A figure was not provided,NA,NaN
2016,A,C,Observation provided by the country,Kenya National Bureau of Statistics,Proportion of agricultural land area that has achieved an acceptable or desirable level of secure tenure rights to agricultural land [2.4.1],Percent,Missing value,Not Available,NaN = A figure was not provided,NA,62
2017,O,_X,NaN = A figure was not provided,NA,Proportion of agricultural land area that has achieved an acceptable or desirable level of secure tenure rights to agricultural land [2.4.1],Percent,Missing value,Not Available,NaN = A figure was not provided,NA,NaN
