Year,Sex,Age,Value
2000,,,4.7
2001,,,4.3
2002,,,4.0
2003,,,3.7
2004,,,3.4
2005,,,3.1
2006,,,2.9
2007,,,2.6
2008,,,2.2
2009,,,2.1
2010,,,1.9
2011,,,1.7
2012,,,1.6
2013,,,1.5
2014,,,1.3
2015,,,1.0
2016,,,0.88
2017,,,0.76
2018,,,0.64
2019,,,0.61
2020,,,0.57
2021,,,0.48
2022,,,0.4
2023,,,0.31
2000,,50 years old and over,1.9
2001,,50 years old and over,1.7
2002,,50 years old and over,1.6
2003,,50 years old and over,1.4
2004,,50 years old and over,1.3
2005,,50 years old and over,1.2
2006,,50 years old and over,1.1
2007,,50 years old and over,1.0
2008,,50 years old and over,0.97
2009,,50 years old and over,0.91
2010,,50 years old and over,0.83
2011,,50 years old and over,0.75
2012,,50 years old and over,0.68
2013,,50 years old and over,0.61
2014,,50 years old and over,0.56
2015,,50 years old and over,0.48
2016,,50 years old and over,0.4
2017,,50 years old and over,0.32
2018,,50 years old and over,0.28
2019,,50 years old and over,0.26
2020,,50 years old and over,0.24
2021,,50 years old and over,0.19
2022,,50 years old and over,0.15
2023,,50 years old and over,0.12
2000,,under 15 years old,3.7
2001,,under 15 years old,3.5
2002,,under 15 years old,3.3
2003,,under 15 years old,3.1
2004,,under 15 years old,2.8
2005,,under 15 years old,2.5
2006,,under 15 years old,2.2
2007,,under 15 years old,1.9
2008,,under 15 years old,1.4
2009,,under 15 years old,1.3
2010,,under 15 years old,1.1
2011,,under 15 years old,0.89
2012,,under 15 years old,0.95
2013,,under 15 years old,0.87
2014,,under 15 years old,0.74
2015,,under 15 years old,0.46
2016,,under 15 years old,0.41
2017,,under 15 years old,0.44
2018,,under 15 years old,0.33
2019,,under 15 years old,0.32
2020,,under 15 years old,0.3
2021,,under 15 years old,0.29
2022,,under 15 years old,0.27
2023,,under 15 years old,0.18
2000,,15 to 24 years old,6.2
2001,,15 to 24 years old,5.6
2002,,15 to 24 years old,5.2
2003,,15 to 24 years old,4.7
2004,,15 to 24 years old,4.4
2005,,15 to 24 years old,4.0
2006,,15 to 24 years old,3.8
2007,,15 to 24 years old,3.5
2008,,15 to 24 years old,3.3
2009,,15 to 24 years old,3.1
2010,,15 to 24 years old,2.8
2011,,15 to 24 years old,2.6
2012,,15 to 24 years old,2.3
2013,,15 to 24 years old,2.1
2014,,15 to 24 years old,2.0
2015,,15 to 24 years old,1.7
2016,,15 to 24 years old,1.4
2017,,15 to 24 years old,1.2
2018,,15 to 24 years old,1.0
2019,,15 to 24 years old,0.95
2020,,15 to 24 years old,0.88
2021,,15 to 24 years old,0.7
2022,,15 to 24 years old,0.55
2023,,15 to 24 years old,0.45
2000,,15 to 49 years old,6.2
2001,,15 to 49 years old,5.6
2002,,15 to 49 years old,5.2
2003,,15 to 49 years old,4.7
2004,,15 to 49 years old,4.4
2005,,15 to 49 years old,4.0
2006,,15 to 49 years old,3.8
2007,,15 to 49 years old,3.5
2008,,15 to 49 years old,3.3
2009,,15 to 49 years old,3.1
2010,,15 to 49 years old,2.8
2011,,15 to 49 years old,2.5
2012,,15 to 49 years old,2.3
2013,,15 to 49 years old,2.1
2014,,15 to 49 years old,1.9
2015,,15 to 49 years old,1.6
2016,,15 to 49 years old,1.4
2017,,15 to 49 years old,1.1
2018,,15 to 49 years old,0.96
2019,,15 to 49 years old,0.9
2020,,15 to 49 years old,0.84
2021,,15 to 49 years old,0.67
2022,,15 to 49 years old,0.54
2023,,15 to 49 years old,0.44
2000,Female,,5.4
2001,Female,,5.0
2002,Female,,4.6
2003,Female,,4.2
2004,Female,,4.0
2005,Female,,3.6
2006,Female,,3.3
2007,Female,,3.0
2008,Female,,2.6
2009,Female,,2.5
2010,Female,,2.2
2011,Female,,2.0
2012,Female,,1.9
2013,Female,,1.8
2014,Female,,1.6
2015,Female,,1.3
2016,Female,,1.1
2017,Female,,0.96
2018,Female,,0.82
2019,Female,,0.78
2020,Female,,0.73
2021,Female,,0.61
2022,Female,,0.51
2023,Female,,0.4
2000,Female,50 years old and over,1.9
2001,Female,50 years old and over,1.8
2002,Female,50 years old and over,1.6
2003,Female,50 years old and over,1.5
2004,Female,50 years old and over,1.4
2005,Female,50 years old and over,1.3
2006,Female,50 years old and over,1.2
2007,Female,50 years old and over,1.1
2008,Female,50 years old and over,1.0
2009,Female,50 years old and over,0.95
2010,Female,50 years old and over,0.87
2011,Female,50 years old and over,0.8
2012,Female,50 years old and over,0.74
2013,Female,50 years old and over,0.68
2014,Female,50 years old and over,0.62
2015,Female,50 years old and over,0.54
2016,Female,50 years old and over,0.46
2017,Female,50 years old and over,0.38
2018,Female,50 years old and over,0.33
2019,Female,50 years old and over,0.31
2020,Female,50 years old and over,0.29
2021,Female,50 years old and over,0.23
2022,Female,50 years old and over,0.18
2023,Female,50 years old and over,0.15
2000,Female,15 to 24 years old,9.2
2001,Female,15 to 24 years old,8.3
2002,Female,15 to 24 years old,7.7
2003,Female,15 to 24 years old,6.9
2004,Female,15 to 24 years old,6.5
2005,Female,15 to 24 years old,5.9
2006,Female,15 to 24 years old,5.5
2007,Female,15 to 24 years old,5.1
2008,Female,15 to 24 years old,4.8
2009,Female,15 to 24 years old,4.5
2010,Female,15 to 24 years old,4.1
2011,Female,15 to 24 years old,3.8
2012,Female,15 to 24 years old,3.5
2013,Female,15 to 24 years old,3.2
2014,Female,15 to 24 years old,3.0
2015,Female,15 to 24 years old,2.6
2016,Female,15 to 24 years old,2.2
2017,Female,15 to 24 years old,1.8
2018,Female,15 to 24 years old,1.6
2019,Female,15 to 24 years old,1.5
2020,Female,15 to 24 years old,1.4
2021,Female,15 to 24 years old,1.1
2022,Female,15 to 24 years old,0.88
2023,Female,15 to 24 years old,0.72
2000,Female,15 to 49 years old,7.8
2001,Female,15 to 49 years old,7.0
2002,Female,15 to 49 years old,6.6
2003,Female,15 to 49 years old,5.9
2004,Female,15 to 49 years old,5.6
2005,Female,15 to 49 years old,5.1
2006,Female,15 to 49 years old,4.8
2007,Female,15 to 49 years old,4.4
2008,Female,15 to 49 years old,4.1
2009,Female,15 to 49 years old,3.9
2010,Female,15 to 49 years old,3.5
2011,Female,15 to 49 years old,3.2
2012,Female,15 to 49 years old,3.0
2013,Female,15 to 49 years old,2.7
2014,Female,15 to 49 years old,2.5
2015,Female,15 to 49 years old,2.2
2016,Female,15 to 49 years old,1.8
2017,Female,15 to 49 years old,1.5
2018,Female,15 to 49 years old,1.3
2019,Female,15 to 49 years old,1.2
2020,Female,15 to 49 years old,1.2
2021,Female,15 to 49 years old,0.93
2022,Female,15 to 49 years old,0.75
2023,Female,15 to 49 years old,0.61
2000,Male,,4.0
2001,Male,,3.7
2002,Male,,3.5
2003,Male,,3.2
2004,Male,,2.9
2005,Male,,2.7
2006,Male,,2.4
2007,Male,,2.2
2008,Male,,1.9
2009,Male,,1.8
2010,Male,,1.6
2011,Male,,1.4
2012,Male,,1.3
2013,Male,,1.2
2014,Male,,1.0
2015,Male,,0.79
2016,Male,,0.66
2017,Male,,0.57
2018,Male,,0.47
2019,Male,,0.44
2020,Male,,0.4
2021,Male,,0.34
2022,Male,,0.29
2023,Male,,0.22
2000,Male,50 years old and over,1.9
2001,Male,50 years old and over,1.7
2002,Male,50 years old and over,1.6
2003,Male,50 years old and over,1.4
2004,Male,50 years old and over,1.3
2005,Male,50 years old and over,1.2
2006,Male,50 years old and over,1.1
2007,Male,50 years old and over,1.0
2008,Male,50 years old and over,0.93
2009,Male,50 years old and over,0.88
2010,Male,50 years old and over,0.79
2011,Male,50 years old and over,0.7
2012,Male,50 years old and over,0.62
2013,Male,50 years old and over,0.55
2014,Male,50 years old and over,0.49
2015,Male,50 years old and over,0.41
2016,Male,50 years old and over,0.34
2017,Male,50 years old and over,0.27
2018,Male,50 years old and over,0.23
2019,Male,50 years old and over,0.21
2020,Male,50 years old and over,0.19
2021,Male,50 years old and over,0.15
2022,Male,50 years old and over,0.12
2023,Male,50 years old and over,0.1
2000,Male,15 to 24 years old,3.3
2001,Male,15 to 24 years old,3.0
2002,Male,15 to 24 years old,2.8
2003,Male,15 to 24 years old,2.5
2004,Male,15 to 24 years old,2.4
2005,Male,15 to 24 years old,2.2
2006,Male,15 to 24 years old,2.0
2007,Male,15 to 24 years old,1.9
2008,Male,15 to 24 years old,1.7
2009,Male,15 to 24 years old,1.7
2010,Male,15 to 24 years old,1.5
2011,Male,15 to 24 years old,1.3
2012,Male,15 to 24 years old,1.2
2013,Male,15 to 24 years old,1.1
2014,Male,15 to 24 years old,0.94
2015,Male,15 to 24 years old,0.78
2016,Male,15 to 24 years old,0.63
2017,Male,15 to 24 years old,0.5
2018,Male,15 to 24 years old,0.43
2019,Male,15 to 24 years old,0.39
2020,Male,15 to 24 years old,0.36
2021,Male,15 to 24 years old,0.28
2022,Male,15 to 24 years old,0.22
2023,Male,15 to 24 years old,0.18
2000,Male,15 to 49 years old,4.6
2001,Male,15 to 49 years old,4.2
2002,Male,15 to 49 years old,3.9
2003,Male,15 to 49 years old,3.5
2004,Male,15 to 49 years old,3.3
2005,Male,15 to 49 years old,3.1
2006,Male,15 to 49 years old,2.9
2007,Male,15 to 49 years old,2.6
2008,Male,15 to 49 years old,2.5
2009,Male,15 to 49 years old,2.3
2010,Male,15 to 49 years old,2.1
2011,Male,15 to 49 years old,1.9
2012,Male,15 to 49 years old,1.7
2013,Male,15 to 49 years old,1.5
2014,Male,15 to 49 years old,1.3
2015,Male,15 to 49 years old,1.1
2016,Male,15 to 49 years old,0.91
2017,Male,15 to 49 years old,0.72
2018,Male,15 to 49 years old,0.61
2019,Male,15 to 49 years old,0.57
2020,Male,15 to 49 years old,0.52
2021,Male,15 to 49 years old,0.41
2022,Male,15 to 49 years old,0.33
2023,Male,15 to 49 years old,0.26
