Year,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,Sex,Upper bound value,Lower bound value,Value
2000,Data was previously disseminated with a different age group. The age group has been corrected in December 2024.,22.9,10.4,,25.7,11.8,15.6
2005,Data was previously disseminated with a different age group. The age group has been corrected in December 2024.,23.6,11.7,,25.7,11.8,16.9
2010,Data was previously disseminated with a different age group. The age group has been corrected in December 2024.,25.6,13.2,,25.7,11.8,18.6
2015,Data was previously disseminated with a different age group. The age group has been corrected in December 2024.,25.8,12.8,,25.7,11.8,18.3
2019,Data was previously disseminated with a different age group. The age group has been corrected in December 2024.,27.1,12.8,,25.7,11.8,19.1
2020,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution. Data was previously disseminated with a different age group. The age group has been corrected in December 2024.",26.7,12.5,,25.7,11.8,18.8
2021,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution. Data was previously disseminated with a different age group. The age group has been corrected in December 2024.",25.7,11.8,,25.7,11.8,18.0
2000,Data was previously disseminated with a different age group. The age group has been corrected in December 2024.,24.3,9.8,Female,27.4,11.3,15.4
2005,Data was previously disseminated with a different age group. The age group has been corrected in December 2024.,25,11,Female,27.4,11.3,16.6
2010,Data was previously disseminated with a different age group. The age group has been corrected in December 2024.,28,13.1,Female,27.4,11.3,19.1
2015,Data was previously disseminated with a different age group. The age group has been corrected in December 2024.,28.4,12.9,Female,27.4,11.3,19.1
2019,Data was previously disseminated with a different age group. The age group has been corrected in December 2024.,28.3,12,Female,27.4,11.3,18.6
2020,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution. Data was previously disseminated with a different age group. The age group has been corrected in December 2024.",26.7,11.1,Female,27.4,11.3,17.4
2021,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution. Data was previously disseminated with a different age group. The age group has been corrected in December 2024.",27.4,11.3,Female,27.4,11.3,17.8
2000,Data was previously disseminated with a different age group. The age group has been corrected in December 2024.,21.5,11.3,Male,24,12.5,16.1
2005,Data was previously disseminated with a different age group. The age group has been corrected in December 2024.,22.3,12.8,Male,24,12.5,17.5
2010,Data was previously disseminated with a different age group. The age group has been corrected in December 2024.,23.2,13.5,Male,24,12.5,18.3
2015,Data was previously disseminated with a different age group. The age group has been corrected in December 2024.,23.1,12.7,Male,24,12.5,17.6
2019,Data was previously disseminated with a different age group. The age group has been corrected in December 2024.,25.9,13.7,Male,24,12.5,19.8
2020,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution. Data was previously disseminated with a different age group. The age group has been corrected in December 2024.",26.8,14.1,Male,24,12.5,20.4
2021,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution. Data was previously disseminated with a different age group. The age group has been corrected in December 2024.",24,12.5,Male,24,12.5,18.3
