Year,UPPER_BOUND,LOWER_BOUND,Sex,Upper bound value,Lower bound value,Value
2000,2.4,1.2,,2.3,1,1.7
2005,2.5,1.3,,2.3,1,1.8
2010,2.2,1.1,,2.3,1,1.6
2015,2.3,1.2,,2.3,1,1.6
2019,2.6,1.1,,2.3,1,1.7
2020,2.5,1.1,,2.3,1,1.6
2021,2.3,1,,2.3,1,1.5
2000,1.8,0.9,Female,1.6,0.7,1.2
2005,1.5,0.7,Female,1.6,0.7,1.1
2010,1.5,0.7,Female,1.6,0.7,1.1
2015,1.7,0.8,Female,1.6,0.7,1.2
2019,1.7,0.8,Female,1.6,0.7,1.1
2020,1.6,0.7,Female,1.6,0.7,1.1
2021,1.6,0.7,Female,1.6,0.7,1.0
2000,3.1,1.5,Male,3,1.3,2.1
2005,3.5,1.8,Male,3,1.3,2.5
2010,2.9,1.5,Male,3,1.3,2.1
2015,2.9,1.5,Male,3,1.3,2.0
2019,3.6,1.5,Male,3,1.3,2.3
2020,3.4,1.4,Male,3,1.3,2.2
2021,3,1.3,Male,3,1.3,1.9
