Year,UPPER_BOUND,LOWER_BOUND,Sex,Upper bound value,Lower bound value,COMMENT_OBS,Value
2000,25.1,13.8,,13.6,7.7,,19.5
2005,20.4,13.4,,13.6,7.7,,16.9
2010,17.7,11.8,,13.6,7.7,,14.7
2015,15.4,10.3,,13.6,7.7,,12.8
2020,14,8.7,,13.6,7.7,The most recent survey was conducted in 2015. This is a projection.,11.3
2022,13.6,7.7,,13.6,7.7,The most recent survey was conducted in 2015. This is a projection.,10.7
2000,8.4,3.8,Female,3.5,1.9,,6.1
2005,6.4,3.6,Female,3.5,1.9,,5.0
2010,5.1,3.2,Female,3.5,1.9,,4.2
2015,4.2,2.7,Female,3.5,1.9,,3.5
2020,3.7,2,Female,3.5,1.9,The most recent survey was conducted in 2015. This is a projection.,2.9
2022,3.5,1.9,Female,3.5,1.9,The most recent survey was conducted in 2015. This is a projection.,2.7
2000,41.7,23.9,Male,23.7,13.6,,32.8
2005,34.3,23.1,Male,23.7,13.6,,28.7
2010,30.2,20.5,Male,23.7,13.6,,25.3
2015,26.6,17.9,Male,23.7,13.6,,22.2
2020,24.2,15.3,Male,23.7,13.6,The most recent survey was conducted in 2015. This is a projection.,19.7
2022,23.7,13.6,Male,23.7,13.6,The most recent survey was conducted in 2015. This is a projection.,18.7
