Year,SOURCE_DETAIL,SDG Series,Sex,Occupation,Unit of measure,Source details,Value
2002,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.","Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population","National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",1.38
2008,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.","Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population","National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",1.69
2009,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.","Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population","National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",1.71
2010,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.","Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population","National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",1.71
2011,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.","Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population","National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",1.77
2012,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.","Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population","National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",1.84
2013,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.","Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population","National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",1.93
2014,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.","Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population","National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",1.99
2018,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.","Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population","National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",1.6
2020,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.","Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population","National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",0.74
2021,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.","Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population","National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",0.98
2022,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.","Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population","National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",2.36
2023,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.","Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 10,000 population","National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",2.89
2004,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.","Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population","National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",4.65
2008,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.","Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population","National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",3.59
2009,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.","Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population","National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",3.95
2010,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.","Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population","National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",7.13
2011,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.","Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population","National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",14.06
2012,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.","Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population","National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",14.07
2013,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.","Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population","National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",8.96
2014,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.","Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population","National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",9.41
