Year,SOURCE_DETAIL,SDG Series,Value
2017,WATER RESOURCES AUTHORITY,Proportion of groundwater bodies with good ambient water quality [6.3.2],42.18
2020,Water Resources Authority,Proportion of groundwater bodies with good ambient water quality [6.3.2],90.32
2023,Water Resources Authority,Proportion of groundwater bodies with good ambient water quality [6.3.2],42.85
2017,WATER RESOURCES AUTHORITY,Proportion of open water bodies with good ambient water quality [6.3.2],0.0
2020,Water Resources Authority,Proportion of open water bodies with good ambient water quality [6.3.2],33.33
2023,Water Resources Authority,Proportion of open water bodies with good ambient water quality [6.3.2],50.0
2017,WATER RESOURCES AUTHORITY,Proportion of river water bodies with good ambient water quality [6.3.2],30.52
2020,Water Resources Authority,Proportion of river water bodies with good ambient water quality [6.3.2],90.38
2023,Water Resources Authority,Proportion of river water bodies with good ambient water quality [6.3.2],33.71
2017,WATER RESOURCES AUTHORITY,Proportion of bodies of water with good ambient water quality [6.3.2],35.5
2020,Water Resources Authority,Proportion of bodies of water with good ambient water quality [6.3.2],86.52
2023,Water Resources Authority,Proportion of bodies of water with good ambient water quality [6.3.2],37.05
