Year,OBS_STATUS,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Composite breakdown,Unit of measure,Observation status,Nature of data points,Observation-level footnotes,Source details,Value
2005,B,E,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Time series break,Estimated,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,8.95291
2006,B,E,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Time series break,Estimated,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,8.55367
2007,B,E,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Time series break,Estimated,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,8.31703
2008,B,E,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Time series break,Estimated,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,8.14789
2009,B,E,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Time series break,Estimated,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,8.50113
2010,B,E,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Time series break,Estimated,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,8.60722
2011,B,E,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Time series break,Estimated,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,8.89851
2012,B,E,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Time series break,Estimated,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,9.23897
2013,B,E,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Time series break,Estimated,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,9.70633
2014,B,E,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Time series break,Estimated,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,10.01735
2015,B,E,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Time series break,Estimated,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,10.79572
2016,B,E,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Time series break,Estimated,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,11.37926
2017,B,E,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Time series break,Estimated,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,11.81486
2018,B,E,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Time series break,Estimated,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,11.97613
2019,B,E,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Time series break,Estimated,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,12.2283
2020,B,E,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Time series break,Estimated,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,12.32351
2021,B,E,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Time series break,Estimated,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,12.94709
2022,B,E,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Time series break,Estimated,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,13.94087
2000,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3068.04787
2001,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,3092.87254
2002,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,4610.13247
2003,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,6121.25919
2004,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,7616.20243
2005,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,7567.41571
2006,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,7539.68644
2007,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,7523.24999
2008,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,7511.50261
2009,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,7536.0373
2010,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,7543.40545
2011,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,7563.63763
2012,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,7587.28451
2013,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,7619.74518
2014,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,7641.34758
2015,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,7695.40987
2016,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,7735.94012
2017,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,7766.19494
2018,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,7777.39623
2019,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,7794.91049
2020,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,7801.52392
2021,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,7844.83513
2022,A,E,,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Normal value,Estimated,,Global Surface Water Explorer extraction for UN Environment Programme,7913.85902
