Year,COMMENT_OBS,Value
2000,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",21.042434
2001,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",39.302747
2002,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",25.643182
2003,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",27.185825
2004,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",40.839268
2005,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",48.974399
2006,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",57.906994
2007,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",97.601732
2008,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",118.526423
2009,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",118.285583
2010,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",169.864337
2011,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",167.151331
2012,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",185.585156
2013,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",197.641845
2014,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",207.510249
2015,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",166.915142
2016,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",223.823428
2017,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",247.800481
2018,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",297.756878
2019,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",218.319365
2020,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",207.041271
2021,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",247.874097
2022,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",259.630195
2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",153.570746
