Year,OBS_STATUS,COMMENT_OBS,SOURCE_DETAIL,Sex,Occupation,Observation status,Observation-level footnotes,Source details,Value
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,,,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,50.13
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,,,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,100.1
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,,Armed forces occupations,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,81.3
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,,Armed forces occupations,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,391.67
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,,Managers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,286.49
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,,Managers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,481.8
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,,Professionals,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,174.49
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,,Professionals,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,244.42
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,,Technicians and associate professionals,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,81.98
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,,Technicians and associate professionals,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,242.21
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,,Clerical support workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,67.02
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,,Clerical support workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,270.65
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,,Service and sales workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,29.08
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,,Service and sales workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,62.38
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,,"Skilled agricultural, forestry and fishery workers",Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,14.91
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,,"Skilled agricultural, forestry and fishery workers",Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,29.42
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,,Craft and related trades workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,34.34
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,,Craft and related trades workers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,78.52
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,,"Plant and machine operators, and assemblers",Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,47.3
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,,"Plant and machine operators, and assemblers",Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,62.81
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,,Elementary occupations,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,21.22
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,,Elementary occupations,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,29.36
2005,U,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,,Not elsewhere classified,Low reliability,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,9.4
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,Female,,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,47.87
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,Female,,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,94.77
2005,U,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,Female,Armed forces occupations,Low reliability,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,69.44
2019,U,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,Female,Armed forces occupations,Low reliability,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,634.0
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,Female,Managers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,248.52
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,Female,Managers,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,332.35
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,Female,Professionals,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,182.07
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,Female,Professionals,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,210.84
2005,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES) | Break in series: Methodology revised,HIES - Household Budget Survey,Female,Technicians and associate professionals,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,75.91
2019,A,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,Female,Technicians and associate professionals,Normal value,Repository: ILO-STATISTICS - Micro data processing | Currency: KEN - Kenyan shilling (KES),HS - Continuous household survey,157.87
