Year,NATURE,SOURCE_DETAIL,SDG Series,Observation-level footnotes,COMMENT_OBS,Value
2004,C,Data based on the ITU DataHub,Proportion of population covered by at least a 2G mobile network [9.c.1],5G mobile network was rolled out during the year and the population coverage remains below 0.0%,,52
2005,C,Data based on the ITU DataHub,Proportion of population covered by at least a 2G mobile network [9.c.1],5G mobile network was rolled out during the year and the population coverage remains below 0.0%,,62
2006,C,Data based on the ITU DataHub,Proportion of population covered by at least a 2G mobile network [9.c.1],5G mobile network was rolled out during the year and the population coverage remains below 0.0%,,65
2007,C,Communication Commission of Kenya,Proportion of population covered by at least a 2G mobile network [9.c.1],5G mobile network was rolled out during the year and the population coverage remains below 0.0%,,77
2008,C,Communication Commission of Kenya,Proportion of population covered by at least a 2G mobile network [9.c.1],5G mobile network was rolled out during the year and the population coverage remains below 0.0%,,83
2009,C,Communication Commission of Kenya,Proportion of population covered by at least a 2G mobile network [9.c.1],5G mobile network was rolled out during the year and the population coverage remains below 0.0%,,84.5
2010,C,Communications Commission of Kenya,Proportion of population covered by at least a 2G mobile network [9.c.1],5G mobile network was rolled out during the year and the population coverage remains below 0.0%,,89
2011,C,Communications Commission of Kenya-ITU1,Proportion of population covered by at least a 2G mobile network [9.c.1],5G mobile network was rolled out during the year and the population coverage remains below 0.0%,,89.1
2012,C,Communications Commission of Kenya,Proportion of population covered by at least a 2G mobile network [9.c.1],5G mobile network was rolled out during the year and the population coverage remains below 0.0%,,89.08
2013,C,Communications Authority  of Kenya,Proportion of population covered by at least a 2G mobile network [9.c.1],5G mobile network was rolled out during the year and the population coverage remains below 0.0%,,89.08
2014,C,Communications Authority  of Kenya,Proportion of population covered by at least a 2G mobile network [9.c.1],5G mobile network was rolled out during the year and the population coverage remains below 0.0%,,89.08
2015,C,Communications Authority  of Kenya,Proportion of population covered by at least a 2G mobile network [9.c.1],5G mobile network was rolled out during the year and the population coverage remains below 0.0%,,92
2016,C,COMMUNICATIONS AUTHORITY OF KENYA,Proportion of population covered by at least a 2G mobile network [9.c.1],5G mobile network was rolled out during the year and the population coverage remains below 0.0%,,94.4
2017,C,COMMUNICATIONS AUTHORITY OF KENYA,Proportion of population covered by at least a 2G mobile network [9.c.1],5G mobile network was rolled out during the year and the population coverage remains below 0.0%,,95.3
2018,C,Communications Authority  of Kenya,Proportion of population covered by at least a 2G mobile network [9.c.1],5G mobile network was rolled out during the year and the population coverage remains below 0.0%,,96
2019,C,Communications Authority  of Kenya,Proportion of population covered by at least a 2G mobile network [9.c.1],5G mobile network was rolled out during the year and the population coverage remains below 0.0%,,96.3
2020,C,Communications Authority  of Kenya,Proportion of population covered by at least a 2G mobile network [9.c.1],5G mobile network was rolled out during the year and the population coverage remains below 0.0%,,96.3
2021,C,Communications Authority  of Kenya,Proportion of population covered by at least a 2G mobile network [9.c.1],5G mobile network was rolled out during the year and the population coverage remains below 0.0%,,97
2022,C,Communications Authority  of Kenya,Proportion of population covered by at least a 2G mobile network [9.c.1],5G mobile network was rolled out during the year and the population coverage remains below 0.0%,5G mobile network was rolled out during the year and the population coverage remains below 0.0%,98
2023,C,Communications Authority  of Kenya,Proportion of population covered by at least a 2G mobile network [9.c.1],5G mobile network was rolled out during the year and the population coverage remains below 0.0%,,98
2014,E,ITU estimate,Proportion of population covered by at least a 3G mobile network [9.c.1],2G Population coverage is 95.4,ITU estimate,50
2015,C,Communications Authority  of Kenya,Proportion of population covered by at least a 3G mobile network [9.c.1],2G Population coverage is 95.4,,69
2016,C,COMMUNICATIONS AUTHORITY OF KENYA,Proportion of population covered by at least a 3G mobile network [9.c.1],2G Population coverage is 95.4,,78
2017,C,COMMUNICATIONS AUTHORITY OF KENYA,Proportion of population covered by at least a 3G mobile network [9.c.1],2G Population coverage is 95.4,2G Population coverage is 95.4,85
2018,C,Communications Authority  of Kenya,Proportion of population covered by at least a 3G mobile network [9.c.1],2G Population coverage is 95.4,,86
2019,C,Communications Authority  of Kenya,Proportion of population covered by at least a 3G mobile network [9.c.1],2G Population coverage is 95.4,,93.3
