Year,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Custom Breakdown,Nature of data points,Observation-level footnotes,Source details,Label for custom breakdown,Value
2011,G,Third quarter of the specified year.,"World Development Indicators database, World Bank.",Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted [10.c.1],,Global monitoring data,Third quarter of the specified year.,"World Development Indicators database, World Bank.",,13.1
2015,G,Third quarter of the specified year.,"World Development Indicators database, World Bank.",Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted [10.c.1],,Global monitoring data,Third quarter of the specified year.,"World Development Indicators database, World Bank.",,8.83
2017,G,Third quarter of the specified year.,"World Development Indicators database, World Bank.",Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted [10.c.1],,Global monitoring data,Third quarter of the specified year.,"World Development Indicators database, World Bank.",,7.93
2018,G,Third quarter of the specified year.,"World Development Indicators database, World Bank.",Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted [10.c.1],,Global monitoring data,Third quarter of the specified year.,"World Development Indicators database, World Bank.",,8.36
2019,G,Third quarter of the specified year.,"World Development Indicators database, World Bank.",Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted [10.c.1],,Global monitoring data,Third quarter of the specified year.,"World Development Indicators database, World Bank.",,7.68
2020,G,Third quarter of the specified year.,"World Development Indicators database, World Bank.",Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted [10.c.1],,Global monitoring data,Third quarter of the specified year.,"World Development Indicators database, World Bank.",,8.45
2021,G,Third quarter of the specified year.,"World Development Indicators database, World Bank.",Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted [10.c.1],,Global monitoring data,Third quarter of the specified year.,"World Development Indicators database, World Bank.",,9.24
2022,G,Third quarter of the specified year.,"World Development Indicators database, World Bank.",Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted [10.c.1],,Global monitoring data,Third quarter of the specified year.,"World Development Indicators database, World Bank.",,7.47
2023,G,Third quarter of the specified year.,"World Development Indicators database, World Bank.",Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted [10.c.1],,Global monitoring data,Third quarter of the specified year.,"World Development Indicators database, World Bank.",,8.75
2016,G,Third quarter of the specified year,"Remittance Prices Worldwide database, World Bank.",Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 646,Global monitoring data,Third quarter of the specified year,"Remittance Prices Worldwide database, World Bank.",Rwanda,10.55
2017,G,Third quarter of the specified year,"Remittance Prices Worldwide database, World Bank.",Average remittance costs of sending $200 in a corridor as a proportion of the amount remitted [10.c.1],Custom code 646,Global monitoring data,Third quarter of the specified year,"Remittance Prices Worldwide database, World Bank.",Rwanda,7.06
