Year,OBS_STATUS,UNIT_MULT,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Unit of measure,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Source details,Value
2000,A,0,C,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,Forest area as a proportion of total land area [15.1.1],Percent,Normal value,Units,Country Data,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,6.96
2010,A,0,C,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,Forest area as a proportion of total land area [15.1.1],Percent,Normal value,Units,Country Data,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,6.35
2015,A,0,C,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,Forest area as a proportion of total land area [15.1.1],Percent,Normal value,Units,Country Data,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,6.19
2016,A,0,C,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,Forest area as a proportion of total land area [15.1.1],Percent,Normal value,Units,Country Data,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,6.24
2017,A,0,C,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,Forest area as a proportion of total land area [15.1.1],Percent,Normal value,Units,Country Data,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,6.29
2018,A,0,C,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,Forest area as a proportion of total land area [15.1.1],Percent,Normal value,Units,Country Data,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,6.34
2019,A,0,C,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,Forest area as a proportion of total land area [15.1.1],Percent,Normal value,Units,Country Data,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,6.34
2020,A,0,C,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,Forest area as a proportion of total land area [15.1.1],Percent,Normal value,Units,Country Data,Officially reported data,FAO. Global Forest Resources Assessment 2020 and FAOSTAT,6.34
2000,A,3,C,Officially reported data,FAO. Global Forest Resources Assessment 2020,Forest area (hectares) [15.1.1],Hectares,Normal value,Thousands,Country Data,Officially reported data,FAO. Global Forest Resources Assessment 2020,3961.19
2010,A,3,C,Officially reported data,FAO. Global Forest Resources Assessment 2020,Forest area (hectares) [15.1.1],Hectares,Normal value,Thousands,Country Data,Officially reported data,FAO. Global Forest Resources Assessment 2020,3616.34
2015,A,3,C,Officially reported data,FAO. Global Forest Resources Assessment 2020,Forest area (hectares) [15.1.1],Hectares,Normal value,Thousands,Country Data,Officially reported data,FAO. Global Forest Resources Assessment 2020,3522.41
2016,A,3,C,Officially reported data,FAO. Global Forest Resources Assessment 2020,Forest area (hectares) [15.1.1],Hectares,Normal value,Thousands,Country Data,Officially reported data,FAO. Global Forest Resources Assessment 2020,3551.97
2017,A,3,C,Officially reported data,FAO. Global Forest Resources Assessment 2020,Forest area (hectares) [15.1.1],Hectares,Normal value,Thousands,Country Data,Officially reported data,FAO. Global Forest Resources Assessment 2020,3581.53
2018,A,3,C,Officially reported data,FAO. Global Forest Resources Assessment 2020,Forest area (hectares) [15.1.1],Hectares,Normal value,Thousands,Country Data,Officially reported data,FAO. Global Forest Resources Assessment 2020,3611.09
2019,A,3,C,Officially reported data,FAO. Global Forest Resources Assessment 2020,Forest area (hectares) [15.1.1],Hectares,Normal value,Thousands,Country Data,Officially reported data,FAO. Global Forest Resources Assessment 2020,3611.09
2020,A,3,C,Officially reported data,FAO. Global Forest Resources Assessment 2020,Forest area (hectares) [15.1.1],Hectares,Normal value,Thousands,Country Data,Officially reported data,FAO. Global Forest Resources Assessment 2020,3611.09
2000,A,3,C,,FAO. FAOSTAT,Land area (hectares) [15.1.1],Hectares,Imputed value (CCSA definition),Thousands,Estimated,,FAO. FAOSTAT,56914.0
2010,I,3,E,,FAO. FAOSTAT,Land area (hectares) [15.1.1],Hectares,Imputed value (CCSA definition),Thousands,Estimated,,FAO. FAOSTAT,56914.0
2015,I,3,E,,FAO. FAOSTAT,Land area (hectares) [15.1.1],Hectares,Imputed value (CCSA definition),Thousands,Estimated,,FAO. FAOSTAT,56914.0
2016,I,3,E,,FAO. FAOSTAT,Land area (hectares) [15.1.1],Hectares,Imputed value (CCSA definition),Thousands,Estimated,,FAO. FAOSTAT,56914.0
2017,I,3,E,,FAO. FAOSTAT,Land area (hectares) [15.1.1],Hectares,Imputed value (CCSA definition),Thousands,Estimated,,FAO. FAOSTAT,56914.0
2018,I,3,E,,FAO. FAOSTAT,Land area (hectares) [15.1.1],Hectares,Imputed value (CCSA definition),Thousands,Estimated,,FAO. FAOSTAT,56914.0
2019,I,3,E,,FAO. FAOSTAT,Land area (hectares) [15.1.1],Hectares,Imputed value (CCSA definition),Thousands,Estimated,,FAO. FAOSTAT,56914.0
2020,I,3,E,,FAO. FAOSTAT,Land area (hectares) [15.1.1],Hectares,Imputed value (CCSA definition),Thousands,Estimated,,FAO. FAOSTAT,56914.0
