Year,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Unit of measure,Unit multiplier,Observation-level footnotes,Source details,Value
2000,0,Officially reported data,FAO. Global Forest Resources Assessment 2020,Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Officially reported data,FAO. Global Forest Resources Assessment 2020,200.39
2010,0,Officially reported data,FAO. Global Forest Resources Assessment 2020,Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Officially reported data,FAO. Global Forest Resources Assessment 2020,200.38
2015,0,Officially reported data,FAO. Global Forest Resources Assessment 2020,Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Officially reported data,FAO. Global Forest Resources Assessment 2020,200.38
2016,0,Officially reported data,FAO. Global Forest Resources Assessment 2020,Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Officially reported data,FAO. Global Forest Resources Assessment 2020,200.38
2017,0,Officially reported data,FAO. Global Forest Resources Assessment 2020,Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Officially reported data,FAO. Global Forest Resources Assessment 2020,200.38
2018,0,Officially reported data,FAO. Global Forest Resources Assessment 2020,Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Officially reported data,FAO. Global Forest Resources Assessment 2020,200.38
2019,0,Officially reported data,FAO. Global Forest Resources Assessment 2020,Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Officially reported data,FAO. Global Forest Resources Assessment 2020,200.38
2020,0,Officially reported data,FAO. Global Forest Resources Assessment 2020,Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Officially reported data,FAO. Global Forest Resources Assessment 2020,200.38
2000,3,No certified forest area,No data on certified forest area in the FSC and PEFC records,Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,No certified forest area,No data on certified forest area in the FSC and PEFC records,0.0
2005,3,,FSC and PEFC (forest certification organizations),Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,No certified forest area,No data on certified forest area in the FSC and PEFC records,2.36
2010,3,,FSC and PEFC (forest certification organizations),Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,No certified forest area,No data on certified forest area in the FSC and PEFC records,0.2
2015,3,No certified forest area,No data on certified forest area in the FSC and PEFC records,Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,No certified forest area,No data on certified forest area in the FSC and PEFC records,0.0
2016,3,No certified forest area,No data on certified forest area in the FSC and PEFC records,Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,No certified forest area,No data on certified forest area in the FSC and PEFC records,0.0
2017,3,No certified forest area,No data on certified forest area in the FSC and PEFC records,Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,No certified forest area,No data on certified forest area in the FSC and PEFC records,0.0
2018,3,No certified forest area,No data on certified forest area in the FSC and PEFC records,Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,No certified forest area,No data on certified forest area in the FSC and PEFC records,0.0
2019,3,No certified forest area,No data on certified forest area in the FSC and PEFC records,Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,No certified forest area,No data on certified forest area in the FSC and PEFC records,0.0
