Year,Value
2000,4.23364976375547
2001,0.392071439730166
2002,0.434625977212833
2003,0.441780787060586
2004,2.33490812923558
2005,2.26808312406334
2006,2.2088981923497
2007,2.01891210593496
2008,1.85907364130394
2009,1.49115081057576
2010,1.51029178105058
2011,1.99308663050858
2012,2.14732659744178
2013,2.1148804409277
2014,2.11002334799742
2015,2.23796042279418
2016,2.33193318571891
2017,2.39195095634137
2018,2.95041012979609
2019,2.82749196207078
2020,3.08763090265523
2021,3.43661248510652
2022,3.54717907214312
2023,3.91305703507243
