Year,SOURCE_DETAIL,SDG Series,Source details,Value
2010,WESR / UN COMTRADE,Amount of tracked exported Environmentally Sound Technologies [17.7.1],WESR / UN COMTRADE,154603500
2013,WESR / UN COMTRADE,Amount of tracked exported Environmentally Sound Technologies [17.7.1],WESR / UN COMTRADE,192780401
2015,WESR / UN COMTRADE,Amount of tracked exported Environmentally Sound Technologies [17.7.1],WESR / UN COMTRADE,205748193
2016,WESR / UN COMTRADE,Amount of tracked exported Environmentally Sound Technologies [17.7.1],WESR / UN COMTRADE,199739524
2017,WESR / UN COMTRADE,Amount of tracked exported Environmentally Sound Technologies [17.7.1],WESR / UN COMTRADE,166846666
2018,WESR / UN COMTRADE,Amount of tracked exported Environmentally Sound Technologies [17.7.1],WESR / UN COMTRADE,193822650
2019,WESR / UN COMTRADE,Amount of tracked exported Environmentally Sound Technologies [17.7.1],WESR / UN COMTRADE,215005169
2020,WESR / UN COMTRADE,Amount of tracked exported Environmentally Sound Technologies [17.7.1],WESR / UN COMTRADE,221323773
2010,WESR / UN COMTRADE,Amount of tracked imported Environmentally Sound Technologies [17.7.1],WESR / UN COMTRADE,553505022
2013,WESR / UN COMTRADE,Amount of tracked imported Environmentally Sound Technologies [17.7.1],WESR / UN COMTRADE,1072177186
2015,WESR / UN COMTRADE,Amount of tracked imported Environmentally Sound Technologies [17.7.1],WESR / UN COMTRADE,984738741
2016,WESR / UN COMTRADE,Amount of tracked imported Environmentally Sound Technologies [17.7.1],WESR / UN COMTRADE,952035099
2017,WESR / UN COMTRADE,Amount of tracked imported Environmentally Sound Technologies [17.7.1],WESR / UN COMTRADE,945083232
2018,WESR / UN COMTRADE,Amount of tracked imported Environmentally Sound Technologies [17.7.1],WESR / UN COMTRADE,940116984
2019,WESR / UN COMTRADE,Amount of tracked imported Environmentally Sound Technologies [17.7.1],WESR / UN COMTRADE,1024048853
2020,WESR / UN COMTRADE,Amount of tracked imported Environmentally Sound Technologies [17.7.1],WESR / UN COMTRADE,1044049938
2013,WESR / UN COMTRADE,Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],WESR / UN COMTRADE,5073022
2017,WESR / UN COMTRADE,Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],WESR / UN COMTRADE,23891519
2018,WESR / UN COMTRADE,Amount of tracked re-exported Environmentally Sound Technologies [17.7.1],WESR / UN COMTRADE,32987812
2010,World Environment Situation Room,Total trade of tracked Environmentally Sound Technologies [17.7.1],World Environment Situation Room,708108522
2013,World Environment Situation Room,Total trade of tracked Environmentally Sound Technologies [17.7.1],World Environment Situation Room,1270030609
2015,World Environment Situation Room,Total trade of tracked Environmentally Sound Technologies [17.7.1],World Environment Situation Room,1190486934
2016,World Environment Situation Room,Total trade of tracked Environmentally Sound Technologies [17.7.1],World Environment Situation Room,1151774623
2017,World Environment Situation Room,Total trade of tracked Environmentally Sound Technologies [17.7.1],World Environment Situation Room,1135821417
2018,World Environment Situation Room,Total trade of tracked Environmentally Sound Technologies [17.7.1],World Environment Situation Room,1166927446
2019,World Environment Situation Room,Total trade of tracked Environmentally Sound Technologies [17.7.1],World Environment Situation Room,1239054022
2020,World Environment Situation Room,Total trade of tracked Environmentally Sound Technologies [17.7.1],World Environment Situation Room,1265373711
