Year,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,Value
2000, ,3.17505,1.52621,2.29856
2001, ,3.17505,1.52621,2.29856
2002, ,3.1072,1.46153,2.25631
2003, ,3.06489,1.44186,2.24154
2004, ,3.16265,1.53045,2.30392
2005, ,3.25252,1.60729,2.39936
2006, ,3.45352,1.72293,2.50842
2007, ,3.53221,1.74048,2.58627
2008, ,3.63963,1.75608,2.66746
2009, ,3.71187,1.84125,2.69821
2010, ,3.70296,1.84183,2.67422
2011, ,3.70179,1.87853,2.71986
2012, ,3.77268,1.94888,2.79495
2013, ,3.80559,1.96101,2.84259
2014,,3.91877,1.91765,2.86635
2015,,3.7779,1.94572,2.85386
2016,,3.90005,1.99247,2.93744
2017,,3.92024,2.02529,2.93971
2018,,3.96543,2.09603,2.97173
2019,,3.78711,1.93899,2.78166
2020,,3.76143,1.97234,2.76552
2021,,3.44782,1.65033,2.4798
2022,,3.44782,1.65033,2.4798
