Year,SOURCE_DETAIL,Value
2003,Kenya 2003 Demographic and Health Survey,47.5
2008,Kenya 2008-2009 Demographic and Health Survey,55.9
2014,Kenya 2014 Demographic and Health Survey,70.7
2015,Kenya 2015 PMA2020 Round 3,73.4
2016,Kenya 2016 PMA2020 Round 5,75.2
2017,Kenya 2017 PMA2020 Round 6,76.0
2018,Kenya 2018 PMA2020 Round 7,77.3
2019,Kenya 2019 PMA Survey Phase 1,75.1
2020,Kenya 2020 PMA Survey Phase 2,77.1
2021,Kenya 2021 PMA Survey Phase 3,75.6
2022,Kenya 2022 Demographic and Health Survey,79.3
