Year,SOURCE_DETAIL,Sex,COMMENT_OBS,Value
2015,KENYA NATIONAL BUREAU OF STATISTICS,,,44.8
2016,KENYA NATIONAL BUREAU OF STATISTICS,,Aged 3 and older. Definition as per ITU,44.8
2019,KENYA NATIONAL BUREAU OF STATISTICS,,Aged 3 and older. ,47.3
2023,Kenya National Bureau of Statistics,,,53.7
2015,KENYA NATIONAL BUREAU OF STATISTICS,Female,,43.7
2019,KENYA NATIONAL BUREAU OF STATISTICS,Female,Aged 3 and older. ,47.0
2023,Kenya National Bureau of Statistics,Female,,52.9
2015,KENYA NATIONAL BUREAU OF STATISTICS,Male,,46.0
2019,KENYA NATIONAL BUREAU OF STATISTICS,Male,Aged 3 and older. ,47.6
2023,Kenya National Bureau of Statistics,Male,,54.5
