Year,SDG Series,Sex,Economic activity,Value
2019,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]",,,86.49
2019,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]",,"Agriculture, forestry and fishing",97.11
2019,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]",,Non-agriculture,81.12
2019,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]",Female,,90.19
2019,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]",Female,"Agriculture, forestry and fishing",97.68
2019,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]",Female,Non-agriculture,86.01
2019,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]",Male,,83.13
2019,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]",Male,"Agriculture, forestry and fishing",96.52
2019,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]",Male,Non-agriculture,76.94
2019,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",,,79.28
2019,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",,"Agriculture, forestry and fishing",94.15
2019,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",,Non-agriculture,74.21
2019,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Female,,82.75
2019,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Female,"Agriculture, forestry and fishing",94.69
2019,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Female,Non-agriculture,78.24
2019,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Male,,76.82
2019,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Male,"Agriculture, forestry and fishing",93.71
2019,"Proportion of informal employment, by sector and sex - 19th ICLS [8.3.1]",Male,Non-agriculture,71.48
