Year,COMMENT_OBS,SDG Series,Value
2000,Budgetary Central Government Sector,"Proportion of total government spending on essential services, education [1.a.2]",28.98475599
2001,Budgetary Central Government Sector,"Proportion of total government spending on essential services, education [1.a.2]",26.06595654
2002,Budgetary Central Government Sector,"Proportion of total government spending on essential services, education [1.a.2]",27.02146849
2003,Budgetary Central Government Sector,"Proportion of total government spending on essential services, education [1.a.2]",29.35782618
2004,Budgetary Central Government Sector,"Proportion of total government spending on essential services, education [1.a.2]",26.98408992
2005,Budgetary Central Government Sector,"Proportion of total government spending on essential services, education [1.a.2]",29.67632531
2006,Budgetary Central Government Sector,"Proportion of total government spending on essential services, education [1.a.2]",27.00040137
2007,Budgetary Central Government Sector,"Proportion of total government spending on essential services, education [1.a.2]",26.50297571
2008,Budgetary Central Government Sector,"Proportion of total government spending on essential services, education [1.a.2]",24.12875294
2009,Budgetary Central Government Sector,"Proportion of total government spending on essential services, education [1.a.2]",23.65076496
2010,Budgetary Central Government Sector,"Proportion of total government spending on essential services, education [1.a.2]",22.98924589
2011,Budgetary Central Government Sector,"Proportion of total government spending on essential services, education [1.a.2]",22.79062851
2012,Budgetary Central Government Sector,"Proportion of total government spending on essential services, education [1.a.2]",20.67491558
2013,Budgetary Central Government Sector,"Proportion of total government spending on essential services, education [1.a.2]",20.80800068
2017,Budgetary Central Government Sector,"Proportion of total government spending on essential services, education [1.a.2]",14.25657336
2018,Budgetary Central Government Sector,"Proportion of total government spending on essential services, education [1.a.2]",18.63421805
2019,Budgetary Central Government Sector,"Proportion of total government spending on essential services, education [1.a.2]",18.52003934
2020,General Government Sector,"Proportion of total government spending on essential services, education [1.a.2]",17.92133301
2021,Budgetary Central Government Sector,"Proportion of total government spending on essential services, education [1.a.2]",16.38459563
2022,Central Government Sector (incl. social security funds),"Proportion of total government spending on essential services, education [1.a.2]",14.68483816
2023,General Government Sector,"Proportion of total government spending on essential services, education [1.a.2]",18.4291757
2000,Budgetary Central Government Sector,Proportion of total government spending on essential services [1.a.2],37.46112374
2001,Budgetary Central Government Sector,Proportion of total government spending on essential services [1.a.2],37.82852763
2002,Budgetary Central Government Sector,Proportion of total government spending on essential services [1.a.2],37.64903168
2003,Budgetary Central Government Sector,Proportion of total government spending on essential services [1.a.2],43.72083837
2004,Budgetary Central Government Sector,Proportion of total government spending on essential services [1.a.2],36.4056188
2005,Budgetary Central Government Sector,Proportion of total government spending on essential services [1.a.2],41.09888064
2006,Budgetary Central Government Sector,Proportion of total government spending on essential services [1.a.2],40.40501561
2007,Budgetary Central Government Sector,Proportion of total government spending on essential services [1.a.2],39.6923501
2008,Budgetary Central Government Sector,Proportion of total government spending on essential services [1.a.2],35.98061465
2009,Budgetary Central Government Sector,Proportion of total government spending on essential services [1.a.2],36.0805997
