Year,NATURE,SOURCE_DETAIL,SDG Series,Composite breakdown,Economic activity,Unit of measure,Nature of data points,Source details,COMMENT_OBS,Observation-level footnotes,BASE_PER,Base period,Value
2017,E,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Electronic waste generated, per capita (Kg) [12.4.2]",,,Kilograms,Estimated,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",,,,,0.06574
2017,C,Kenya National Bureau of Statistics,Electronic waste generated (Tonnes) [12.4.2],,,Metric Tons,Country Data,Kenya National Bureau of Statistics,"Source: Census of Industrial Production, 2017.","Source: Census of Industrial Production, 2017.",,,3218.0
2017,E,UNEP / WESR,"Hazardous waste generated, per unit of GDP [12.4.2]",,,Kilograms per constant USD,Estimated,UNEP / WESR,,,2015,2015,0.00051
2017,C,Kenya National Bureau of Statistics,Hazardous waste generated (Tonnes) [12.4.2],,,Metric Tons,Country Data,Kenya National Bureau of Statistics,"Source: Census of Industrial Production, 2017.","Source: Census of Industrial Production, 2017.",,,38347.1992
2017,E,UNEP / WESR,"Hazardous waste generated, per capita (Kg) [12.4.2]",,,Kilograms,Estimated,UNEP / WESR,,,,,0.78343
2017,C,Kenya National Bureau of Statistics,Hazardous waste treated and by type of treatment (Tonnes) [12.4.2],Waste treatment: Incineration,,Metric Tons,Country Data,Kenya National Bureau of Statistics,"Source: Census of Industrial Production, 2017.","Source: Census of Industrial Production, 2017.",,,8156.2002
2017,C,Kenya National Bureau of Statistics,Hazardous waste treated and by type of treatment (Tonnes) [12.4.2],Waste treatment: Landfilling,,Metric Tons,Country Data,Kenya National Bureau of Statistics,"Source: Census of Industrial Production, 2017.","Source: Census of Industrial Production, 2017.",,,5.6
2017,C,Kenya National Bureau of Statistics,Hazardous waste treated and by type of treatment (Tonnes) [12.4.2],Waste treatment: Other type of waste management,,Metric Tons,Country Data,Kenya National Bureau of Statistics,"Source: Census of Industrial Production, 2017. Includes all methods of disposal captured during the CIP data collection.","Source: Census of Industrial Production, 2017. Includes all methods of disposal captured during the CIP data collection.",,,29958.5996
2017,C,Kenya National Bureau of Statistics,Proportion of hazardous waste treated or disposed (%) [12.4.2],,,Percent,Country Data,Kenya National Bureau of Statistics,,,,,99.40856
2017,C,Kenya National Bureau of Statistics,Hazardous waste treated or disposed (Tonnes) [12.4.2],,,Metric Tons,Country Data,Kenya National Bureau of Statistics,"Source: Census of Industrial Production, 2017. Excludes amount recycled.","Source: Census of Industrial Production, 2017. Excludes amount recycled.",,,38120.3984
