Year,UPPER_BOUND,LOWER_BOUND,Value
1993,0.86109,0.84993,0.85642
1994,0.86067,0.8496,0.85606
1995,0.86001,0.84856,0.85528
1996,0.85944,0.84614,0.85366
1997,0.85836,0.84281,0.85124
1998,0.85759,0.84038,0.84916
1999,0.8541,0.83675,0.84574
2000,0.85067,0.83304,0.84231
2001,0.84779,0.83029,0.83905
2002,0.84437,0.82633,0.83572
2003,0.84112,0.82352,0.83273
2004,0.83798,0.82035,0.82893
2005,0.83538,0.81729,0.82658
2006,0.83225,0.81365,0.8234
2007,0.82869,0.81002,0.82039
2008,0.82557,0.80702,0.81705
2009,0.82297,0.80271,0.81443
2010,0.82018,0.79807,0.81203
2011,0.81891,0.79321,0.80905
2012,0.81829,0.78657,0.80623
2013,0.81829,0.78157,0.80268
2014,0.81754,0.77754,0.79992
2015,0.81794,0.77086,0.79655
2016,0.81794,0.76529,0.79306
2017,0.81786,0.75895,0.79033
2018,0.81759,0.75375,0.78627
2019,0.81795,0.7483,0.78369
2020,0.81785,0.74003,0.78036
2021,0.81793,0.73667,0.77771
2022,0.81808,0.72908,0.77436
2023,0.81792,0.72303,0.77153
2024,0.81872,0.71585,0.76818
