Year,NATURE,COMMENT_OBS,SDG Series,Sex,Age,Unit of measure,Nature of data points,Observation-level footnotes,Value
2014,C,Data in reference to one country but derived from different types of sources should not be compared between them.,Detected victims of human trafficking (number) [16.2.2],,,Number,Country Data,Data in reference to one country but derived from different types of sources should not be compared between them.,143
2015,C,Data in reference to one country but derived from different types of sources should not be compared between them.,Detected victims of human trafficking (number) [16.2.2],,,Number,Country Data,Data in reference to one country but derived from different types of sources should not be compared between them.,318
2016,C,Data in reference to one country but derived from different types of sources should not be compared between them.,Detected victims of human trafficking (number) [16.2.2],,,Number,Country Data,Data in reference to one country but derived from different types of sources should not be compared between them.,187
2017,C,Data in reference to one country but derived from different types of sources should not be compared between them.,Detected victims of human trafficking (number) [16.2.2],,,Number,Country Data,Data in reference to one country but derived from different types of sources should not be compared between them.,352
2018,C,Data in reference to one country but derived from different types of sources should not be compared between them.,Detected victims of human trafficking (number) [16.2.2],,,Number,Country Data,Data in reference to one country but derived from different types of sources should not be compared between them.,283
2012,_X,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,Detected victims of human trafficking (number) [16.2.2],,18 years old and over,Number,Country Data,Data in reference to one country but derived from different types of sources should not be compared between them.,NaN
2013,_X,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,Detected victims of human trafficking (number) [16.2.2],,18 years old and over,Number,Country Data,Data in reference to one country but derived from different types of sources should not be compared between them.,NaN
2014,C,Data in reference to one country but derived from different types of sources should not be compared between them.,Detected victims of human trafficking (number) [16.2.2],,18 years old and over,Number,Country Data,Data in reference to one country but derived from different types of sources should not be compared between them.,143
2015,C,Data in reference to one country but derived from different types of sources should not be compared between them.,Detected victims of human trafficking (number) [16.2.2],,18 years old and over,Number,Country Data,Data in reference to one country but derived from different types of sources should not be compared between them.,318
2016,C,Data in reference to one country but derived from different types of sources should not be compared between them.,Detected victims of human trafficking (number) [16.2.2],,18 years old and over,Number,Country Data,Data in reference to one country but derived from different types of sources should not be compared between them.,187
2017,C,Data in reference to one country but derived from different types of sources should not be compared between them.,Detected victims of human trafficking (number) [16.2.2],,18 years old and over,Number,Country Data,Data in reference to one country but derived from different types of sources should not be compared between them.,352
2012,_X,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,Detected victims of human trafficking (number) [16.2.2],,under 18 years old,Number,Not Available,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,NaN
2013,_X,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,Detected victims of human trafficking (number) [16.2.2],,under 18 years old,Number,Not Available,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,NaN
2014,_X,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,Detected victims of human trafficking (number) [16.2.2],,under 18 years old,Number,Not Available,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,NaN
2015,_X,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,Detected victims of human trafficking (number) [16.2.2],,under 18 years old,Number,Not Available,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,NaN
2016,_X,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,Detected victims of human trafficking (number) [16.2.2],,under 18 years old,Number,Not Available,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,NaN
2017,_X,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,Detected victims of human trafficking (number) [16.2.2],,under 18 years old,Number,Not Available,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,NaN
2014,C,Data in reference to one country but derived from different types of sources should not be compared between them.,Detected victims of human trafficking (number) [16.2.2],Female,,Number,Country Data,Data in reference to one country but derived from different types of sources should not be compared between them.,143
2015,C,Data in reference to one country but derived from different types of sources should not be compared between them.,Detected victims of human trafficking (number) [16.2.2],Female,,Number,Country Data,Data in reference to one country but derived from different types of sources should not be compared between them.,309
2016,C,Data in reference to one country but derived from different types of sources should not be compared between them.,Detected victims of human trafficking (number) [16.2.2],Female,,Number,Country Data,Data in reference to one country but derived from different types of sources should not be compared between them.,120
2017,C,Data in reference to one country but derived from different types of sources should not be compared between them.,Detected victims of human trafficking (number) [16.2.2],Female,,Number,Country Data,Data in reference to one country but derived from different types of sources should not be compared between them.,283
