Year,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Sex,Age,Occupation,Composite breakdown,Unit of measure,Observation-level footnotes,Source details,Value
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,Proportions of positions in the judiciary compared to national distributions [16.7.1],,under 45 years old,Judges,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,0.66067
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,Proportions of positions in the judiciary compared to national distributions [16.7.1],,under 45 years old,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,0.28359
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,Proportions of positions in the judiciary compared to national distributions [16.7.1],Female,,Judges,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.","KNBS, Economic Survey 2023",0.941
2023,,"KNBS, Economic Survey 2023",Proportions of positions in the judiciary compared to national distributions [16.7.1],Female,,Judges,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.","KNBS, Economic Survey 2023",1.08067
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,Proportions of positions in the judiciary compared to national distributions [16.7.1],Female,,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,1.11111
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,Proportions of positions in the judiciary compared to national distributions [16.7.1],Male,,Judges,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.","KNBS, Economic Survey 2023",1.059
2023,,"KNBS, Economic Survey 2023",Proportions of positions in the judiciary compared to national distributions [16.7.1],Male,,Judges,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.","KNBS, Economic Survey 2023",0.91933
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,Proportions of positions in the judiciary compared to national distributions [16.7.1],Male,,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,0.88889
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,"Proportions of positions in the judiciary compared to national distributions, Constitutional Court [16.7.1]",,under 45 years old,Judges,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,0.0
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,"Proportions of positions in the judiciary compared to national distributions, Constitutional Court [16.7.1]",,under 45 years old,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,0.0
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,"Proportions of positions in the judiciary compared to national distributions, Constitutional Court [16.7.1]",Female,,Judges,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,0.66667
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,"Proportions of positions in the judiciary compared to national distributions, Constitutional Court [16.7.1]",Female,,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,2.0
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,"Proportions of positions in the judiciary compared to national distributions, Constitutional Court [16.7.1]",Male,,Judges,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,1.33333
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,"Proportions of positions in the judiciary compared to national distributions, Constitutional Court [16.7.1]",Male,,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,0.0
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,"Proportions of positions in the judiciary compared to national distributions, Higher Courts [16.7.1]",,under 45 years old,Judges,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,0.00874
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,"Proportions of positions in the judiciary compared to national distributions, Higher Courts [16.7.1]",,under 45 years old,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,0.0
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,"Proportions of positions in the judiciary compared to national distributions, Higher Courts [16.7.1]",Female,,Judges,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,0.89041
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,"Proportions of positions in the judiciary compared to national distributions, Higher Courts [16.7.1]",Female,,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,1.0
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,"Proportions of positions in the judiciary compared to national distributions, Higher Courts [16.7.1]",Male,,Judges,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,1.10959
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,"Proportions of positions in the judiciary compared to national distributions, Higher Courts [16.7.1]",Male,,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,1.0
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,"Proportions of positions in the judiciary compared to national distributions, Lower Courts [16.7.1]",,under 45 years old,Judges,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,0.84916
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,"Proportions of positions in the judiciary compared to national distributions, Lower Courts [16.7.1]",,under 45 years old,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,0.63808
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,"Proportions of positions in the judiciary compared to national distributions, Lower Courts [16.7.1]",Female,,Judges,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,0.95817
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,"Proportions of positions in the judiciary compared to national distributions, Lower Courts [16.7.1]",Female,,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,1.0
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,"Proportions of positions in the judiciary compared to national distributions, Lower Courts [16.7.1]",Male,,Judges,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,1.04183
2019,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,"Proportions of positions in the judiciary compared to national distributions, Lower Courts [16.7.1]",Male,,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,,Ratio,"Higher-Level Courts include Court of Appeal, High Courts, Employment & Labour Court and Environment & Land Court.
The Personnel at Lower-Level Courts include Magistrates and Kadhis.
Working age in Kenya is 18 to 69 for Judges and 18-59 for the other cadres.",Judiciary; 2019 KPH Census,1.0
2023,"Bicameral: Lower chamber (National Assembly), No Age Data, Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database","Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",Male,Unknown,,Parliamentary committee: Gender Equality,Number,"Bicameral: Lower chamber (National Assembly), No Age Data, Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",1.0
