Year,COMMENT_OBS,Value
2000,Budgetary Central Government Sector,94.84902019
2001,Budgetary Central Government Sector,91.87165698
2002,Budgetary Central Government Sector,83.75427785
2003,Budgetary Central Government Sector,77.96380109
2004,Budgetary Central Government Sector,74.68727185
2005,Budgetary Central Government Sector,94.35477237
2006,Budgetary Central Government Sector,79.27422483
2007,Budgetary Central Government Sector,78.85150222
2008,Budgetary Central Government Sector,75.05822849
2009,Budgetary Central Government Sector,72.89255505
2010,Budgetary Central Government Sector,72.39357707
2011,Budgetary Central Government Sector,76.47839395
2012,Budgetary Central Government Sector,72.91474332
2013,Budgetary Central Government Sector,69.37172008
2014,General Government Sector,63.01812565
2015,General Government Sector,52.60058024
2016,General Government Sector,56.76726719
2017,General Government Sector,47.39972835
2018,General Government Sector,53.71354148
2019,General Government Sector,65.14275347
2020,General Government Sector,59.69851217
2021,General Government Sector,51.70771909
2022,General Government Sector,56.67506297
2023,General Government Sector,61.60254411
