Year,NATURE,SOURCE_DETAIL,SDG Series,Composite breakdown,Unit of measure,Nature of data points,Source details,Observation-level footnotes,COMMENT_OBS,Value
2005,E,Data based on the ITU DataHub,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,Data based on the ITU DataHub,,,0.01508
2006,E,Data based on the ITU DataHub,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,Data based on the ITU DataHub,,,0.04802
2007,E,Data based on the ITU DataHub,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,Data based on the ITU DataHub,,,0.04663
2008,E,Data based on the ITU DataHub,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,Data based on the ITU DataHub,,,0.00837
2009,E,Data based on the ITU DataHub,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,Data based on the ITU DataHub,,,0.04504
2010,E,Data based on the ITU DataHub,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,Data based on the ITU DataHub,,,0.01651
2011,E,Data based on the ITU DataHub,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,Data based on the ITU DataHub,,,0.12663
2012,E,Data based on the ITU DataHub,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,Data based on the ITU DataHub,,,0.12383
2013,E,Data based on the ITU DataHub,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,Data based on the ITU DataHub,,,0.16481
2014,E,Data based on the ITU DataHub,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,Data based on the ITU DataHub,,,0.22109
2015,E,Data based on the ITU DataHub,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,Data based on the ITU DataHub,,,0.28692
2016,E,Data based on the ITU DataHub,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,Data based on the ITU DataHub,,,0.27566
2017,E,Data based on the ITU DataHub,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,Data based on the ITU DataHub,,,0.58601
2018,E,Data based on the ITU DataHub,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,Data based on the ITU DataHub,,,0.73993
2019,E,Data based on the ITU DataHub,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,Data based on the ITU DataHub,,,0.95929
2020,E,Data based on the ITU DataHub,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,Data based on the ITU DataHub,,,1.29112
2021,E,Data based on the ITU DataHub,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,Data based on the ITU DataHub,,,1.48254
2022,E,Data based on the ITU DataHub,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,Data based on the ITU DataHub,,,1.47647
2023,E,Data based on the ITU DataHub,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,Data based on the ITU DataHub,,,2.38883
2010,E,Data based on the ITU DataHub,Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Per 100 population,Estimated,Data based on the ITU DataHub,,,0.00998
2011,E,Data based on the ITU DataHub,Fixed broadband subscriptions per 100 inhabitants [17.6.1],Internet speed: 256 kbit/s to less than 2 Mbit/s,Per 100 population,Estimated,Data based on the ITU DataHub,,,0.06468
