Year,OBS_STATUS,UNIT_MULT,NATURE,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SDG Series,Sex,Age,Unit of measure,Unit multiplier,Value
2015,A,0,CA,3-year average of the period 2014-2016. For years when official national data are not available the values are integrated with FAO data or estimates.,52.2,49.1,National Entity,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,50.7
2016,A,0,CA,3-year average of the period 2015-2017. For years when official national data are not available the values are integrated with FAO data or estimates.,56.4,53.2,National Entity,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,54.8
2017,A,0,CA,3-year average of the period 2016-2018. For years when official national data are not available the values are integrated with FAO data or estimates.,62.5,59.4,National Entity,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,60.9
2018,A,0,CA,3-year average of the period 2017-2019. For years when official national data are not available the values are integrated with FAO data or estimates.,66,62.9,National Entity,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,64.4
2019,A,0,CA,3-year average of the period 2018-2020. For years when official national data are not available the values are integrated with FAO data or estimates.,69.2,66.1,National Entity,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,67.7
2020,A,0,CA,3-year average of the period 2019-2021. For years when official national data are not available the values are integrated with FAO data or estimates.,71.1,67.9,National Entity,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,69.5
2021,A,0,CA,3-year average of the period 2020-2022. For years when official national data are not available the values are integrated with FAO data or estimates.,73.8,70.7,National Entity,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,72.3
2022,A,0,CA,3-year average of the period 2021-2023. For years when official national data are not available the values are integrated with FAO data or estimates.,74.4,71.3,National Entity,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,72.8
2023,O,0,_X,NaN = A figure was not provided,NaN,NaN,NA,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,Units,NaN
2015,E,0,G,3-year average of the period 2014-2016.,55.4,52.7,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,54.1
2016,E,0,G,3-year average of the period 2015-2017.,59.9,57.1,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,58.5
2017,E,0,G,3-year average of the period 2016-2018.,66.4,63.6,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,65
2018,E,0,G,3-year average of the period 2017-2019.,70.1,67.3,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,68.7
2019,E,0,G,3-year average of the period 2018-2020.,73.6,70.8,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,72.2
2020,E,0,G,3-year average of the period 2019-2021.,75.5,72.8,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,74.1
2021,E,0,G,3-year average of the period 2020-2022.,77.5,74.7,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,76.1
2022,E,0,G,3-year average of the period 2021-2023.,76.8,74,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,75.4
2023,O,0,_X,NaN = A figure was not provided,NaN,NaN,NA,Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,NaN
2015,E,0,G,3-year average of the period 2014-2016.,49.1,45.6,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,47.3
2016,E,0,G,3-year average of the period 2015-2017.,52.9,49.4,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,51.2
2017,E,0,G,3-year average of the period 2016-2018.,58.6,55.2,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,56.9
2018,E,0,G,3-year average of the period 2017-2019.,61.9,58.4,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,60.1
2019,E,0,G,3-year average of the period 2018-2020.,64.9,61.4,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,63.2
2020,E,0,G,3-year average of the period 2019-2021.,66.6,63.1,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,64.9
2021,E,0,G,3-year average of the period 2020-2022.,70.2,66.7,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,68.4
2022,E,0,G,3-year average of the period 2021-2023.,72,68.6,Food and Agriculture Organization of the United Nations (FAO),Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,70.3
2023,O,0,_X,NaN = A figure was not provided,NaN,NaN,NA,Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,NaN
2015,A,3,CA,3-year average of the period 2014-2016. For years when official national data are not available the values are integrated with FAO data or estimates.,24483.1,23021.2,National Entity,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,23752.2
2016,A,3,CA,3-year average of the period 2015-2017. For years when official national data are not available the values are integrated with FAO data or estimates.,26993.3,25499,National Entity,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,26246.1
2017,A,3,CA,3-year average of the period 2016-2018. For years when official national data are not available the values are integrated with FAO data or estimates.,30577.3,29050.8,National Entity,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,29814
2018,A,3,CA,3-year average of the period 2017-2019. For years when official national data are not available the values are integrated with FAO data or estimates.,32955.8,31397.5,National Entity,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,32176.7
2019,A,3,CA,3-year average of the period 2018-2020. For years when official national data are not available the values are integrated with FAO data or estimates.,35281.7,33691.8,National Entity,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,34486.8
2020,A,3,CA,3-year average of the period 2019-2021. For years when official national data are not available the values are integrated with FAO data or estimates.,36937.2,35315.5,National Entity,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,36126.4
2021,A,3,CA,3-year average of the period 2020-2022. For years when official national data are not available the values are integrated with FAO data or estimates.,39130.4,37476.8,National Entity,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,38303.6
2022,A,3,CA,3-year average of the period 2021-2023. For years when official national data are not available the values are integrated with FAO data or estimates.,40209.3,38523.4,National Entity,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,Thousands,39366.3
