Year,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SDG Series,Sex,Unit of measure,Unit multiplier,Upper bound value,Lower bound value,Value
2000,0,8.4,6.5,Proportion of children moderately or severely wasted [2.2.2],,Percent,Units,5,4.1,7.4
2003,0,7.3,5.3,Proportion of children moderately or severely wasted [2.2.2],,Percent,Units,5,4.1,6.2
2005,0,7.9,6.1,Proportion of children moderately or severely wasted [2.2.2],,Percent,Units,5,4.1,6.9
2008,0,8,6,Proportion of children moderately or severely wasted [2.2.2],,Percent,Units,5,4.1,6.9
2011,0,NaN,NaN,Proportion of children moderately or severely wasted [2.2.2],,Percent,Units,5,4.1,6.0
2014,0,4.6,3.8,Proportion of children moderately or severely wasted [2.2.2],,Percent,Units,5,4.1,4.2
2016,0,7.5,6,Proportion of children moderately or severely wasted [2.2.2],,Percent,Units,5,4.1,6.7
2022,0,5,4.1,Proportion of children moderately or severely wasted [2.2.2],,Percent,Units,5,4.1,4.5
2000,3,446.2,345.3,Children moderately or severely wasted (number) [2.2.2],,Number,Thousands,349.1,286.3,393.1
2003,3,424.3,308,Children moderately or severely wasted (number) [2.2.2],,Number,Thousands,349.1,286.3,360.4
2005,3,485.7,375,Children moderately or severely wasted (number) [2.2.2],,Number,Thousands,349.1,286.3,424.2
2008,3,531.5,398.6,Children moderately or severely wasted (number) [2.2.2],,Number,Thousands,349.1,286.3,458.4
2011,3,NaN,NaN,Children moderately or severely wasted (number) [2.2.2],,Number,Thousands,349.1,286.3,422.9
2014,3,324.9,268.4,Children moderately or severely wasted (number) [2.2.2],,Number,Thousands,349.1,286.3,296.7
2016,3,522.8,418.2,Children moderately or severely wasted (number) [2.2.2],,Number,Thousands,349.1,286.3,467.0
2022,3,349.1,286.3,Children moderately or severely wasted (number) [2.2.2],,Number,Thousands,349.1,286.3,314.2
2000,0,7.8,6.2,Proportion of children moderately or severely overweight [2.2.2],,Percent,Units,6,3.1,7.0
2001,0,8,6.3,Proportion of children moderately or severely overweight [2.2.2],,Percent,Units,6,3.1,7.1
2002,0,8,6.3,Proportion of children moderately or severely overweight [2.2.2],,Percent,Units,6,3.1,7.1
2003,0,8,6.3,Proportion of children moderately or severely overweight [2.2.2],,Percent,Units,6,3.1,7.1
2004,0,8,6.3,Proportion of children moderately or severely overweight [2.2.2],,Percent,Units,6,3.1,7.1
2005,0,7.8,6.1,Proportion of children moderately or severely overweight [2.2.2],,Percent,Units,6,3.1,6.9
2006,0,7.6,6,Proportion of children moderately or severely overweight [2.2.2],,Percent,Units,6,3.1,6.7
2007,0,7.4,5.7,Proportion of children moderately or severely overweight [2.2.2],,Percent,Units,6,3.1,6.5
2008,0,7.1,5.5,Proportion of children moderately or severely overweight [2.2.2],,Percent,Units,6,3.1,6.2
2009,0,6.7,5.2,Proportion of children moderately or severely overweight [2.2.2],,Percent,Units,6,3.1,5.9
2010,0,6.4,4.9,Proportion of children moderately or severely overweight [2.2.2],,Percent,Units,6,3.1,5.6
2011,0,6.1,4.6,Proportion of children moderately or severely overweight [2.2.2],,Percent,Units,6,3.1,5.3
2012,0,5.8,4.3,Proportion of children moderately or severely overweight [2.2.2],,Percent,Units,6,3.1,5.0
2013,0,5.5,4.1,Proportion of children moderately or severely overweight [2.2.2],,Percent,Units,6,3.1,4.7
2014,0,5.2,3.9,Proportion of children moderately or severely overweight [2.2.2],,Percent,Units,6,3.1,4.5
2015,0,4.9,3.6,Proportion of children moderately or severely overweight [2.2.2],,Percent,Units,6,3.1,4.2
2016,0,4.7,3.5,Proportion of children moderately or severely overweight [2.2.2],,Percent,Units,6,3.1,4.0
2017,0,4.5,3.3,Proportion of children moderately or severely overweight [2.2.2],,Percent,Units,6,3.1,3.9
2018,0,4.4,3.2,Proportion of children moderately or severely overweight [2.2.2],,Percent,Units,6,3.1,3.8
2019,0,4.4,3.1,Proportion of children moderately or severely overweight [2.2.2],,Percent,Units,6,3.1,3.7
2020,0,4.4,3.1,Proportion of children moderately or severely overweight [2.2.2],,Percent,Units,6,3.1,3.7
2021,0,4.6,3,Proportion of children moderately or severely overweight [2.2.2],,Percent,Units,6,3.1,3.7
2022,0,4.9,3,Proportion of children moderately or severely overweight [2.2.2],,Percent,Units,6,3.1,3.8
2023,0,5.3,3.1,Proportion of children moderately or severely overweight [2.2.2],,Percent,Units,6,3.1,4.0
2024,0,6,3.1,Proportion of children moderately or severely overweight [2.2.2],,Percent,Units,6,3.1,4.3
2000,0,7.3,5.8,Proportion of children moderately or severely overweight [2.2.2],Female,Percent,Units,5.6,2.9,6.5
2001,0,7.4,5.9,Proportion of children moderately or severely overweight [2.2.2],Female,Percent,Units,5.6,2.9,6.6
2002,0,7.5,5.9,Proportion of children moderately or severely overweight [2.2.2],Female,Percent,Units,5.6,2.9,6.7
2003,0,7.5,5.9,Proportion of children moderately or severely overweight [2.2.2],Female,Percent,Units,5.6,2.9,6.7
2004,0,7.5,5.9,Proportion of children moderately or severely overweight [2.2.2],Female,Percent,Units,5.6,2.9,6.6
2005,0,7.3,5.7,Proportion of children moderately or severely overweight [2.2.2],Female,Percent,Units,5.6,2.9,6.5
2006,0,7.1,5.6,Proportion of children moderately or severely overweight [2.2.2],Female,Percent,Units,5.6,2.9,6.3
2007,0,6.9,5.3,Proportion of children moderately or severely overweight [2.2.2],Female,Percent,Units,5.6,2.9,6.1
2008,0,6.6,5.1,Proportion of children moderately or severely overweight [2.2.2],Female,Percent,Units,5.6,2.9,5.8
2009,0,6.3,4.8,Proportion of children moderately or severely overweight [2.2.2],Female,Percent,Units,5.6,2.9,5.5
2010,0,6,4.6,Proportion of children moderately or severely overweight [2.2.2],Female,Percent,Units,5.6,2.9,5.2
2011,0,5.7,4.3,Proportion of children moderately or severely overweight [2.2.2],Female,Percent,Units,5.6,2.9,4.9
2012,0,5.4,4.1,Proportion of children moderately or severely overweight [2.2.2],Female,Percent,Units,5.6,2.9,4.7
2013,0,5.1,3.8,Proportion of children moderately or severely overweight [2.2.2],Female,Percent,Units,5.6,2.9,4.4
2014,0,4.8,3.6,Proportion of children moderately or severely overweight [2.2.2],Female,Percent,Units,5.6,2.9,4.2
2015,0,4.6,3.4,Proportion of children moderately or severely overweight [2.2.2],Female,Percent,Units,5.6,2.9,4.0
2016,0,4.4,3.2,Proportion of children moderately or severely overweight [2.2.2],Female,Percent,Units,5.6,2.9,3.8
2017,0,4.2,3.1,Proportion of children moderately or severely overweight [2.2.2],Female,Percent,Units,5.6,2.9,3.6
2018,0,4.1,3,Proportion of children moderately or severely overweight [2.2.2],Female,Percent,Units,5.6,2.9,3.5
2019,0,4.1,2.9,Proportion of children moderately or severely overweight [2.2.2],Female,Percent,Units,5.6,2.9,3.4
2020,0,4.1,2.8,Proportion of children moderately or severely overweight [2.2.2],Female,Percent,Units,5.6,2.9,3.4
2021,0,4.3,2.8,Proportion of children moderately or severely overweight [2.2.2],Female,Percent,Units,5.6,2.9,3.5
2022,0,4.5,2.8,Proportion of children moderately or severely overweight [2.2.2],Female,Percent,Units,5.6,2.9,3.6
2023,0,5,2.9,Proportion of children moderately or severely overweight [2.2.2],Female,Percent,Units,5.6,2.9,3.8
2024,0,5.6,2.9,Proportion of children moderately or severely overweight [2.2.2],Female,Percent,Units,5.6,2.9,4.0
2000,0,8.4,6.6,Proportion of children moderately or severely overweight [2.2.2],Male,Percent,Units,6.4,3.4,7.4
2001,0,8.5,6.7,Proportion of children moderately or severely overweight [2.2.2],Male,Percent,Units,6.4,3.4,7.6
2002,0,8.6,6.8,Proportion of children moderately or severely overweight [2.2.2],Male,Percent,Units,6.4,3.4,7.6
2003,0,8.6,6.8,Proportion of children moderately or severely overweight [2.2.2],Male,Percent,Units,6.4,3.4,7.6
2004,0,8.5,6.7,Proportion of children moderately or severely overweight [2.2.2],Male,Percent,Units,6.4,3.4,7.6
2005,0,8.4,6.6,Proportion of children moderately or severely overweight [2.2.2],Male,Percent,Units,6.4,3.4,7.4
2006,0,8.2,6.4,Proportion of children moderately or severely overweight [2.2.2],Male,Percent,Units,6.4,3.4,7.2
2007,0,7.9,6.1,Proportion of children moderately or severely overweight [2.2.2],Male,Percent,Units,6.4,3.4,6.9
2008,0,7.5,5.8,Proportion of children moderately or severely overweight [2.2.2],Male,Percent,Units,6.4,3.4,6.6
2009,0,7.2,5.5,Proportion of children moderately or severely overweight [2.2.2],Male,Percent,Units,6.4,3.4,6.3
2010,0,6.8,5.2,Proportion of children moderately or severely overweight [2.2.2],Male,Percent,Units,6.4,3.4,6.0
2011,0,6.5,4.9,Proportion of children moderately or severely overweight [2.2.2],Male,Percent,Units,6.4,3.4,5.7
2012,0,6.2,4.7,Proportion of children moderately or severely overweight [2.2.2],Male,Percent,Units,6.4,3.4,5.4
2013,0,5.8,4.4,Proportion of children moderately or severely overweight [2.2.2],Male,Percent,Units,6.4,3.4,5.1
2014,0,5.5,4.1,Proportion of children moderately or severely overweight [2.2.2],Male,Percent,Units,6.4,3.4,4.8
2015,0,5.3,3.9,Proportion of children moderately or severely overweight [2.2.2],Male,Percent,Units,6.4,3.4,4.5
2016,0,5,3.7,Proportion of children moderately or severely overweight [2.2.2],Male,Percent,Units,6.4,3.4,4.3
2017,0,4.9,3.5,Proportion of children moderately or severely overweight [2.2.2],Male,Percent,Units,6.4,3.4,4.2
2018,0,4.7,3.4,Proportion of children moderately or severely overweight [2.2.2],Male,Percent,Units,6.4,3.4,4.0
2019,0,4.7,3.3,Proportion of children moderately or severely overweight [2.2.2],Male,Percent,Units,6.4,3.4,4.0
2020,0,4.7,3.3,Proportion of children moderately or severely overweight [2.2.2],Male,Percent,Units,6.4,3.4,3.9
2021,0,4.9,3.3,Proportion of children moderately or severely overweight [2.2.2],Male,Percent,Units,6.4,3.4,4.0
2022,0,5.2,3.3,Proportion of children moderately or severely overweight [2.2.2],Male,Percent,Units,6.4,3.4,4.1
2023,0,5.7,3.3,Proportion of children moderately or severely overweight [2.2.2],Male,Percent,Units,6.4,3.4,4.3
2024,0,6.4,3.4,Proportion of children moderately or severely overweight [2.2.2],Male,Percent,Units,6.4,3.4,4.6
2000,3,416.2,328.3,Children moderately or severely overweight (number) [2.2.2],,Number,Thousands,423.4,223.3,369.9
2001,3,435.1,343.8,Children moderately or severely overweight (number) [2.2.2],,Number,Thousands,423.4,223.3,387.0
2002,3,452.4,357.3,Children moderately or severely overweight (number) [2.2.2],,Number,Thousands,423.4,223.3,402.3
2003,3,466.4,368.2,Children moderately or severely overweight (number) [2.2.2],,Number,Thousands,423.4,223.3,414.6
2004,3,478.1,374,Children moderately or severely overweight (number) [2.2.2],,Number,Thousands,423.4,223.3,423.1
2005,3,482,377.8,Children moderately or severely overweight (number) [2.2.2],,Number,Thousands,423.4,223.3,426.9
2006,3,480.1,377.2,Children moderately or severely overweight (number) [2.2.2],,Number,Thousands,423.4,223.3,425.8
2007,3,477.2,370.1,Children moderately or severely overweight (number) [2.2.2],,Number,Thousands,423.4,223.3,420.5
2008,3,468.2,363.1,Children moderately or severely overweight (number) [2.2.2],,Number,Thousands,423.4,223.3,412.5
2009,3,457.8,352.7,Children moderately or severely overweight (number) [2.2.2],,Number,Thousands,423.4,223.3,402.1
2010,3,445.4,339.5,Children moderately or severely overweight (number) [2.2.2],,Number,Thousands,423.4,223.3,389.1
2011,3,427.8,325.5,Children moderately or severely overweight (number) [2.2.2],,Number,Thousands,423.4,223.3,373.4
2012,3,408.9,308.4,Children moderately or severely overweight (number) [2.2.2],,Number,Thousands,423.4,223.3,355.3
2013,3,386.2,291.3,Children moderately or severely overweight (number) [2.2.2],,Number,Thousands,423.4,223.3,335.6
2014,3,365.6,272.2,Children moderately or severely overweight (number) [2.2.2],,Number,Thousands,423.4,223.3,315.7
2015,3,344.2,256.1,Children moderately or severely overweight (number) [2.2.2],,Number,Thousands,423.4,223.3,297.1
2016,3,328.6,240.6,Children moderately or severely overweight (number) [2.2.2],,Number,Thousands,423.4,223.3,281.3
2017,3,314.7,230.1,Children moderately or severely overweight (number) [2.2.2],,Number,Thousands,423.4,223.3,269.2
2018,3,306.2,221.4,Children moderately or severely overweight (number) [2.2.2],,Number,Thousands,423.4,223.3,260.5
2019,3,303.8,215.1,Children moderately or severely overweight (number) [2.2.2],,Number,Thousands,423.4,223.3,255.8
2020,3,305.2,213.1,Children moderately or severely overweight (number) [2.2.2],,Number,Thousands,423.4,223.3,255.2
2021,3,318.3,210.6,Children moderately or severely overweight (number) [2.2.2],,Number,Thousands,423.4,223.3,259.1
2022,3,339,212.2,Children moderately or severely overweight (number) [2.2.2],,Number,Thousands,423.4,223.3,268.5
2023,3,374.7,215.4,Children moderately or severely overweight (number) [2.2.2],,Number,Thousands,423.4,223.3,284.6
2024,3,423.4,223.3,Children moderately or severely overweight (number) [2.2.2],,Number,Thousands,423.4,223.3,308.2
2000,3,195.1,152.3,Children moderately or severely overweight (number) [2.2.2],Female,Number,Thousands,197.4,102.7,172.1
2001,3,203.6,159.6,Children moderately or severely overweight (number) [2.2.2],Female,Number,Thousands,197.4,102.7,180.0
2002,3,211.2,166.3,Children moderately or severely overweight (number) [2.2.2],Female,Number,Thousands,197.4,102.7,187.0
2003,3,217.5,171.4,Children moderately or severely overweight (number) [2.2.2],Female,Number,Thousands,197.4,102.7,192.7
2004,3,222.4,174.4,Children moderately or severely overweight (number) [2.2.2],Female,Number,Thousands,197.4,102.7,196.6
2005,3,224.4,175.9,Children moderately or severely overweight (number) [2.2.2],Female,Number,Thousands,197.4,102.7,198.3
2006,3,224.1,175,Children moderately or severely overweight (number) [2.2.2],Female,Number,Thousands,197.4,102.7,197.7
2007,3,221.9,172.2,Children moderately or severely overweight (number) [2.2.2],Female,Number,Thousands,197.4,102.7,195.1
2008,3,218,168.5,Children moderately or severely overweight (number) [2.2.2],Female,Number,Thousands,197.4,102.7,191.3
2009,3,212.8,163.8,Children moderately or severely overweight (number) [2.2.2],Female,Number,Thousands,197.4,102.7,186.3
2010,3,206.4,157.9,Children moderately or severely overweight (number) [2.2.2],Female,Number,Thousands,197.4,102.7,180.2
2011,3,198.3,151.2,Children moderately or severely overweight (number) [2.2.2],Female,Number,Thousands,197.4,102.7,172.8
2012,3,189.8,142.9,Children moderately or severely overweight (number) [2.2.2],Female,Number,Thousands,197.4,102.7,164.3
2013,3,180.8,133.7,Children moderately or severely overweight (number) [2.2.2],Female,Number,Thousands,197.4,102.7,155.1
2014,3,169.5,126,Children moderately or severely overweight (number) [2.2.2],Female,Number,Thousands,197.4,102.7,145.8
2015,3,160.2,118,Children moderately or severely overweight (number) [2.2.2],Female,Number,Thousands,197.4,102.7,137.2
2016,3,151.5,111.9,Children moderately or severely overweight (number) [2.2.2],Female,Number,Thousands,197.4,102.7,129.9
2017,3,145.9,106.3,Children moderately or severely overweight (number) [2.2.2],Female,Number,Thousands,197.4,102.7,124.3
2018,3,141.5,102.6,Children moderately or severely overweight (number) [2.2.2],Female,Number,Thousands,197.4,102.7,120.2
2019,3,140.2,99.9,Children moderately or severely overweight (number) [2.2.2],Female,Number,Thousands,197.4,102.7,118.0
2020,3,142.2,98,Children moderately or severely overweight (number) [2.2.2],Female,Number,Thousands,197.4,102.7,117.8
2021,3,147.2,97.6,Children moderately or severely overweight (number) [2.2.2],Female,Number,Thousands,197.4,102.7,119.6
2022,3,157,98.2,Children moderately or severely overweight (number) [2.2.2],Female,Number,Thousands,197.4,102.7,124.0
2023,3,173,100,Children moderately or severely overweight (number) [2.2.2],Female,Number,Thousands,197.4,102.7,131.4
2024,3,197.4,102.7,Children moderately or severely overweight (number) [2.2.2],Female,Number,Thousands,197.4,102.7,142.3
2000,3,223.3,175.9,Children moderately or severely overweight (number) [2.2.2],Male,Number,Thousands,228.9,120.3,197.8
2001,3,233.2,184.3,Children moderately or severely overweight (number) [2.2.2],Male,Number,Thousands,228.9,120.3,207.0
2002,3,242.3,191.8,Children moderately or severely overweight (number) [2.2.2],Male,Number,Thousands,228.9,120.3,215.2
2003,3,251.3,196.6,Children moderately or severely overweight (number) [2.2.2],Male,Number,Thousands,228.9,120.3,221.9
2004,3,256.3,200.9,Children moderately or severely overweight (number) [2.2.2],Male,Number,Thousands,228.9,120.3,226.5
2005,3,258.4,203,Children moderately or severely overweight (number) [2.2.2],Male,Number,Thousands,228.9,120.3,228.6
2006,3,257.8,202.6,Children moderately or severely overweight (number) [2.2.2],Male,Number,Thousands,228.9,120.3,228.1
2007,3,256.2,199,Children moderately or severely overweight (number) [2.2.2],Male,Number,Thousands,228.9,120.3,225.4
2008,3,251.7,195.1,Children moderately or severely overweight (number) [2.2.2],Male,Number,Thousands,228.9,120.3,221.2
2009,3,246.8,189.3,Children moderately or severely overweight (number) [2.2.2],Male,Number,Thousands,228.9,120.3,215.7
2010,3,238.6,183.7,Children moderately or severely overweight (number) [2.2.2],Male,Number,Thousands,228.9,120.3,208.9
2011,3,229.9,175.7,Children moderately or severely overweight (number) [2.2.2],Male,Number,Thousands,228.9,120.3,200.6
2012,3,220.2,166.4,Children moderately or severely overweight (number) [2.2.2],Male,Number,Thousands,228.9,120.3,191.0
2013,3,208.9,156.6,Children moderately or severely overweight (number) [2.2.2],Male,Number,Thousands,228.9,120.3,180.5
2014,3,197.5,146.7,Children moderately or severely overweight (number) [2.2.2],Male,Number,Thousands,228.9,120.3,169.8
2015,3,186.7,137.5,Children moderately or severely overweight (number) [2.2.2],Male,Number,Thousands,228.9,120.3,159.9
2016,3,177,130.2,Children moderately or severely overweight (number) [2.2.2],Male,Number,Thousands,228.9,120.3,151.5
2017,3,170,124.2,Children moderately or severely overweight (number) [2.2.2],Male,Number,Thousands,228.9,120.3,145.0
2018,3,165.6,119.4,Children moderately or severely overweight (number) [2.2.2],Male,Number,Thousands,228.9,120.3,140.3
2019,3,163.8,116.4,Children moderately or severely overweight (number) [2.2.2],Male,Number,Thousands,228.9,120.3,137.8
2020,3,165.2,114.9,Children moderately or severely overweight (number) [2.2.2],Male,Number,Thousands,228.9,120.3,137.4
2021,3,172.5,113.3,Children moderately or severely overweight (number) [2.2.2],Male,Number,Thousands,228.9,120.3,139.5
2022,3,182.1,115.1,Children moderately or severely overweight (number) [2.2.2],Male,Number,Thousands,228.9,120.3,144.6
2023,3,200.3,117.4,Children moderately or severely overweight (number) [2.2.2],Male,Number,Thousands,228.9,120.3,153.2
2024,3,228.9,120.3,Children moderately or severely overweight (number) [2.2.2],Male,Number,Thousands,228.9,120.3,165.9
