Year,OBS_STATUS,NATURE,SOURCE_DETAIL,SDG Series,Source details,COMMENT_OBS,Observation-level footnotes,Value
2000,E,E,Ministry of Livestock Development,Number of local breeds kept in the country [2.5.1],Ministry of Livestock Development,,,10
2001,E,E,Ministry of Livestock Development,Number of local breeds kept in the country [2.5.1],Ministry of Livestock Development,,,10
2002,E,E,Ministry of Livestock Development,Number of local breeds kept in the country [2.5.1],Ministry of Livestock Development,,,10
2003,E,E,Ministry of Livestock Development,Number of local breeds kept in the country [2.5.1],Ministry of Livestock Development,,,10
2004,E,E,Ministry of Livestock Development,Number of local breeds kept in the country [2.5.1],Ministry of Livestock Development,,,10
2005,E,E,Ministry of Livestock Development,Number of local breeds kept in the country [2.5.1],Ministry of Livestock Development,,,10
2006,E,E,Ministry of Livestock Development,Number of local breeds kept in the country [2.5.1],Ministry of Livestock Development,,,27
2007,E,E,Ministry of Livestock Development,Number of local breeds kept in the country [2.5.1],Ministry of Livestock Development,,,27
2008,E,E,Ministry of Livestock Development,Number of local breeds kept in the country [2.5.1],Ministry of Livestock Development,,,27
2009,E,E,Ministry of Livestock Development,Number of local breeds kept in the country [2.5.1],Ministry of Livestock Development,,,27
2010,E,E,Ministry of Livestock Development,Number of local breeds kept in the country [2.5.1],Ministry of Livestock Development,,,27
2011,E,E,Ministry of Livestock Development,Number of local breeds kept in the country [2.5.1],Ministry of Livestock Development,,,27
2012,E,E,Ministry of Livestock Development,Number of local breeds kept in the country [2.5.1],Ministry of Livestock Development,,,27
2013,E,E,Ministry of Livestock Development,Number of local breeds kept in the country [2.5.1],Ministry of Livestock Development,,,27
2014,E,E,Ministry of Livestock Development,Number of local breeds kept in the country [2.5.1],Ministry of Livestock Development,,,27
2015,E,E,Ministry of Livestock Development,Number of local breeds kept in the country [2.5.1],Ministry of Livestock Development,,,27
2016,E,E,Ministry of Livestock Development,Number of local breeds kept in the country [2.5.1],Ministry of Livestock Development,,,27
2017,E,E,Ministry of Livestock Development,Number of local breeds kept in the country [2.5.1],Ministry of Livestock Development,,,27
2018,E,E,Ministry of Livestock Development,Number of local breeds kept in the country [2.5.1],Ministry of Livestock Development,,,27
2019,E,E,Ministry of Livestock Development,Number of local breeds kept in the country [2.5.1],Ministry of Livestock Development,,,27
2020,E,E,Ministry of Livestock Development,Number of local breeds kept in the country [2.5.1],Ministry of Livestock Development,,,27
2021,E,E,Ministry of Livestock Development,Number of local breeds kept in the country [2.5.1],Ministry of Livestock Development,,,27
2022,E,E,Ministry of Livestock Development,Number of local breeds kept in the country [2.5.1],Ministry of Livestock Development,,,32
2023,E,E,Ministry of Livestock Development,Number of local breeds kept in the country [2.5.1],Ministry of Livestock Development,,,32
2024,E,E,Ministry of Livestock Development,Number of local breeds kept in the country [2.5.1],Ministry of Livestock Development,,,32
2000,E,E,Ministry of Livestock Development,Number of transboundary breeds (including extinct ones) [2.5.1],Ministry of Livestock Development,,,6
2001,E,E,Ministry of Livestock Development,Number of transboundary breeds (including extinct ones) [2.5.1],Ministry of Livestock Development,,,6
2002,E,E,Ministry of Livestock Development,Number of transboundary breeds (including extinct ones) [2.5.1],Ministry of Livestock Development,,,6
2003,E,E,Ministry of Livestock Development,Number of transboundary breeds (including extinct ones) [2.5.1],Ministry of Livestock Development,,,6
2004,E,E,Ministry of Livestock Development,Number of transboundary breeds (including extinct ones) [2.5.1],Ministry of Livestock Development,,,6
2005,E,E,Ministry of Livestock Development,Number of transboundary breeds (including extinct ones) [2.5.1],Ministry of Livestock Development,,,6
2006,E,E,Ministry of Livestock Development,Number of transboundary breeds (including extinct ones) [2.5.1],Ministry of Livestock Development,,,54
2007,E,E,Ministry of Livestock Development,Number of transboundary breeds (including extinct ones) [2.5.1],Ministry of Livestock Development,,,54
2008,E,E,Ministry of Livestock Development,Number of transboundary breeds (including extinct ones) [2.5.1],Ministry of Livestock Development,,,54
2009,E,E,Ministry of Livestock Development,Number of transboundary breeds (including extinct ones) [2.5.1],Ministry of Livestock Development,,,54
2010,E,E,Ministry of Livestock Development,Number of transboundary breeds (including extinct ones) [2.5.1],Ministry of Livestock Development,,,54
2011,E,E,Ministry of Livestock Development,Number of transboundary breeds (including extinct ones) [2.5.1],Ministry of Livestock Development,,,54
2012,E,E,Ministry of Livestock Development,Number of transboundary breeds (including extinct ones) [2.5.1],Ministry of Livestock Development,,,54
2013,E,E,Ministry of Livestock Development,Number of transboundary breeds (including extinct ones) [2.5.1],Ministry of Livestock Development,,,54
2014,E,E,Ministry of Livestock Development,Number of transboundary breeds (including extinct ones) [2.5.1],Ministry of Livestock Development,,,54
2015,E,E,Ministry of Livestock Development,Number of transboundary breeds (including extinct ones) [2.5.1],Ministry of Livestock Development,,,54
2016,E,E,Ministry of Livestock Development,Number of transboundary breeds (including extinct ones) [2.5.1],Ministry of Livestock Development,,,54
2017,E,E,Ministry of Livestock Development,Number of transboundary breeds (including extinct ones) [2.5.1],Ministry of Livestock Development,,,54
2018,E,E,Ministry of Livestock Development,Number of transboundary breeds (including extinct ones) [2.5.1],Ministry of Livestock Development,,,54
2019,E,E,Ministry of Livestock Development,Number of transboundary breeds (including extinct ones) [2.5.1],Ministry of Livestock Development,,,54
2020,E,E,Ministry of Livestock Development,Number of transboundary breeds (including extinct ones) [2.5.1],Ministry of Livestock Development,,,54
2021,E,E,Ministry of Livestock Development,Number of transboundary breeds (including extinct ones) [2.5.1],Ministry of Livestock Development,,,54
2022,E,E,Ministry of Livestock Development,Number of transboundary breeds (including extinct ones) [2.5.1],Ministry of Livestock Development,,,56
2023,E,E,Ministry of Livestock Development,Number of transboundary breeds (including extinct ones) [2.5.1],Ministry of Livestock Development,,,56
2024,E,E,Ministry of Livestock Development,Number of transboundary breeds (including extinct ones) [2.5.1],Ministry of Livestock Development,,,56
2000,O,_X,NA,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],Ministry of Livestock Development,NaN = A figure was not provided,NaN = A figure was not provided,NaN
