Year,OBS_STATUS,NATURE,SOURCE_DETAIL,SDG Series,Unit of measure,Observation-level footnotes,COMMENT_OBS,Value
2000,E,E,Ministry of Livestock Development,Number of local breeds (not extinct) [2.5.2],Number,,,10
2001,E,E,Ministry of Livestock Development,Number of local breeds (not extinct) [2.5.2],Number,,,10
2002,E,E,Ministry of Livestock Development,Number of local breeds (not extinct) [2.5.2],Number,,,10
2003,E,E,Ministry of Livestock Development,Number of local breeds (not extinct) [2.5.2],Number,,,10
2004,E,E,Ministry of Livestock Development,Number of local breeds (not extinct) [2.5.2],Number,,,10
2005,E,E,Ministry of Livestock Development,Number of local breeds (not extinct) [2.5.2],Number,,,10
2006,E,E,Ministry of Livestock Development,Number of local breeds (not extinct) [2.5.2],Number,,,27
2007,A,C,Ministry of Livestock Development,Number of local breeds (not extinct) [2.5.2],Number,,,27
2008,E,E,Ministry of Livestock Development,Number of local breeds (not extinct) [2.5.2],Number,,,27
2009,E,E,Ministry of Livestock Development,Number of local breeds (not extinct) [2.5.2],Number,,,27
2010,A,C,Ministry of Livestock Development,Number of local breeds (not extinct) [2.5.2],Number,,,27
2011,A,C,Ministry of Livestock Development,Number of local breeds (not extinct) [2.5.2],Number,,,27
2012,A,C,Ministry of Livestock Development,Number of local breeds (not extinct) [2.5.2],Number,,,27
2013,A,C,Ministry of Livestock Development,Number of local breeds (not extinct) [2.5.2],Number,,,27
2014,A,C,Ministry of Livestock Development,Number of local breeds (not extinct) [2.5.2],Number,,,27
2015,E,E,Ministry of Livestock Development,Number of local breeds (not extinct) [2.5.2],Number,,,27
2016,E,E,Ministry of Livestock Development,Number of local breeds (not extinct) [2.5.2],Number,,,27
2017,E,E,Ministry of Livestock Development,Number of local breeds (not extinct) [2.5.2],Number,,,27
2018,E,E,Ministry of Livestock Development,Number of local breeds (not extinct) [2.5.2],Number,,,27
2019,E,E,Ministry of Livestock Development,Number of local breeds (not extinct) [2.5.2],Number,,,27
