Year,SDG Series,Sex,Age,Unit of measure,Value
2000,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",63.8
2001,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",61.2
2002,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",58.3
2003,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",55.5
2004,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",52.5
2005,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",49.4
2006,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",46.9
2007,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",44.9
2008,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",42.4
2009,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",41.9
2010,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",41.4
2011,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",41.1
2012,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",41.3
2013,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",40.9
2014,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",40.1
2015,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",39.1
2016,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",38.7
2017,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",38.5
2018,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",37.8
2019,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",37.2
2020,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",36.9
2021,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",36.4
2022,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",35.8
2023,Infant mortality rate [3.2.1],,under 1 year old,"Per 1,000 live births",34.7
2000,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",57.8
2001,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",55.3
2002,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",52.6
2003,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",49.9
2004,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",47.1
2005,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",44.2
2006,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",41.8
2007,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",40.0
2008,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",37.7
2009,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",37.2
2010,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",36.8
2011,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",36.5
2012,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",36.7
2013,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",36.4
2014,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",35.7
2015,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",34.8
2016,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",34.4
2017,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",34.3
2018,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",33.7
2019,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",33.1
2020,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",32.9
2021,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",32.4
2022,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",31.9
2023,Infant mortality rate [3.2.1],Female,under 1 year old,"Per 1,000 live births",30.9
2000,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",69.5
2001,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",66.7
2002,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",63.8
2003,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",60.7
2004,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",57.7
2005,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",54.4
2006,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",51.6
2007,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",49.5
2008,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",46.9
2009,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",46.4
2010,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",45.9
2011,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",45.4
2012,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",45.6
2013,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",45.2
2014,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",44.3
2015,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",43.1
2016,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",42.6
2017,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",42.5
2018,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",41.7
2019,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",41.1
2020,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",40.7
2021,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",40.1
2022,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",39.5
2023,Infant mortality rate [3.2.1],Male,under 1 year old,"Per 1,000 live births",38.3
2000,Infant deaths (number) [3.2.1],,under 1 year old,Number,76768.0
2001,Infant deaths (number) [3.2.1],,under 1 year old,Number,75808.0
2002,Infant deaths (number) [3.2.1],,under 1 year old,Number,74339.0
2003,Infant deaths (number) [3.2.1],,under 1 year old,Number,72258.0
2004,Infant deaths (number) [3.2.1],,under 1 year old,Number,69905.0
2005,Infant deaths (number) [3.2.1],,under 1 year old,Number,67257.0
2006,Infant deaths (number) [3.2.1],,under 1 year old,Number,65304.0
2007,Infant deaths (number) [3.2.1],,under 1 year old,Number,64138.0
2008,Infant deaths (number) [3.2.1],,under 1 year old,Number,61936.0
2009,Infant deaths (number) [3.2.1],,under 1 year old,Number,62162.0
2010,Infant deaths (number) [3.2.1],,under 1 year old,Number,61953.0
2011,Infant deaths (number) [3.2.1],,under 1 year old,Number,61280.0
2012,Infant deaths (number) [3.2.1],,under 1 year old,Number,60939.0
2013,Infant deaths (number) [3.2.1],,under 1 year old,Number,59583.0
2014,Infant deaths (number) [3.2.1],,under 1 year old,Number,58020.0
2015,Infant deaths (number) [3.2.1],,under 1 year old,Number,56441.0
2016,Infant deaths (number) [3.2.1],,under 1 year old,Number,55862.0
2017,Infant deaths (number) [3.2.1],,under 1 year old,Number,55673.0
2018,Infant deaths (number) [3.2.1],,under 1 year old,Number,54725.0
2019,Infant deaths (number) [3.2.1],,under 1 year old,Number,53717.0
2020,Infant deaths (number) [3.2.1],,under 1 year old,Number,53095.0
2021,Infant deaths (number) [3.2.1],,under 1 year old,Number,52765.0
2022,Infant deaths (number) [3.2.1],,under 1 year old,Number,52477.0
2023,Infant deaths (number) [3.2.1],,under 1 year old,Number,51498.0
