Year,SDG Series,Unit of measure,Value
2000,Neonatal mortality rate [3.2.2],"Per 1,000 live births",26.6
2001,Neonatal mortality rate [3.2.2],"Per 1,000 live births",26.4
2002,Neonatal mortality rate [3.2.2],"Per 1,000 live births",26.0
2003,Neonatal mortality rate [3.2.2],"Per 1,000 live births",25.6
2004,Neonatal mortality rate [3.2.2],"Per 1,000 live births",25.2
2005,Neonatal mortality rate [3.2.2],"Per 1,000 live births",24.8
2006,Neonatal mortality rate [3.2.2],"Per 1,000 live births",24.5
2007,Neonatal mortality rate [3.2.2],"Per 1,000 live births",24.1
2008,Neonatal mortality rate [3.2.2],"Per 1,000 live births",23.9
2009,Neonatal mortality rate [3.2.2],"Per 1,000 live births",23.7
2010,Neonatal mortality rate [3.2.2],"Per 1,000 live births",23.6
2011,Neonatal mortality rate [3.2.2],"Per 1,000 live births",23.6
2012,Neonatal mortality rate [3.2.2],"Per 1,000 live births",23.6
2013,Neonatal mortality rate [3.2.2],"Per 1,000 live births",23.6
2014,Neonatal mortality rate [3.2.2],"Per 1,000 live births",23.6
2015,Neonatal mortality rate [3.2.2],"Per 1,000 live births",23.5
2016,Neonatal mortality rate [3.2.2],"Per 1,000 live births",23.4
2017,Neonatal mortality rate [3.2.2],"Per 1,000 live births",23.2
2018,Neonatal mortality rate [3.2.2],"Per 1,000 live births",22.9
2019,Neonatal mortality rate [3.2.2],"Per 1,000 live births",22.6
2020,Neonatal mortality rate [3.2.2],"Per 1,000 live births",22.4
2021,Neonatal mortality rate [3.2.2],"Per 1,000 live births",22.1
2022,Neonatal mortality rate [3.2.2],"Per 1,000 live births",21.8
2023,Neonatal mortality rate [3.2.2],"Per 1,000 live births",21.5
2000,Neonatal deaths (number) [3.2.2],Number,32820.0
2001,Neonatal deaths (number) [3.2.2],Number,33479.0
2002,Neonatal deaths (number) [3.2.2],Number,33874.0
2003,Neonatal deaths (number) [3.2.2],Number,34021.0
2004,Neonatal deaths (number) [3.2.2],Number,34221.0
2005,Neonatal deaths (number) [3.2.2],Number,34455.0
2006,Neonatal deaths (number) [3.2.2],Number,34732.0
2007,Neonatal deaths (number) [3.2.2],Number,35120.0
2008,Neonatal deaths (number) [3.2.2],Number,35394.0
2009,Neonatal deaths (number) [3.2.2],Number,35563.0
2010,Neonatal deaths (number) [3.2.2],Number,35556.0
2011,Neonatal deaths (number) [3.2.2],Number,35252.0
2012,Neonatal deaths (number) [3.2.2],Number,34841.0
2013,Neonatal deaths (number) [3.2.2],Number,34447.0
2014,Neonatal deaths (number) [3.2.2],Number,34293.0
2015,Neonatal deaths (number) [3.2.2],Number,34242.0
2016,Neonatal deaths (number) [3.2.2],Number,33962.0
2017,Neonatal deaths (number) [3.2.2],Number,33708.0
2018,Neonatal deaths (number) [3.2.2],Number,33367.0
2019,Neonatal deaths (number) [3.2.2],Number,32722.0
2020,Neonatal deaths (number) [3.2.2],Number,32424.0
2021,Neonatal deaths (number) [3.2.2],Number,32459.0
2022,Neonatal deaths (number) [3.2.2],Number,32373.0
2023,Neonatal deaths (number) [3.2.2],Number,32251.0
