Year,UPPER_BOUND,LOWER_BOUND,Sex,Upper bound value,Lower bound value,Value
2000,7.5,3.2,,6.8,3.2,4.5
2005,7.3,3.7,,6.8,3.2,4.9
2010,8.1,4.5,,6.8,3.2,5.9
2015,7.1,3.7,,6.8,3.2,5.1
2019,9.5,4.6,,6.8,3.2,6.5
2020,8.2,3.9,,6.8,3.2,5.6
2021,6.8,3.2,,6.8,3.2,4.6
2000,3.9,1.7,Female,3.7,1.7,2.5
2005,3.3,1.6,Female,3.7,1.7,2.3
2010,5.2,2.7,Female,3.7,1.7,3.7
2015,4.9,2.5,Female,3.7,1.7,3.5
2019,5.1,2.4,Female,3.7,1.7,3.5
2020,4.1,2,Female,3.7,1.7,2.8
2021,3.7,1.7,Female,3.7,1.7,2.5
2000,11.1,4.7,Male,9.8,4.7,6.6
2005,11.3,5.7,Male,9.8,4.7,7.5
2010,11,6.4,Male,9.8,4.7,8.1
2015,9.3,5,Male,9.8,4.7,6.6
2019,13.8,6.7,Male,9.8,4.7,9.5
2020,12.1,5.9,Male,9.8,4.7,8.4
2021,9.8,4.7,Male,9.8,4.7,6.7
