Year,NATURE,SDG Series,COMMENT_OBS,Observation-level footnotes,Value
2000,E,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,,82
2001,E,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,,80
2002,E,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,,84
2003,E,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,,73
2004,E,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,,73
2005,E,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,,76
2006,E,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,,80
2007,E,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,,81
2008,E,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,,88
2009,E,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,,88
2010,E,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,,90
2011,E,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,,96
2012,E,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,,94
2013,E,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,,87
2014,E,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,,92
2015,E,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,,89
2016,E,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,,88
2017,E,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,,81
2018,E,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,,91
2019,E,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,,93
2020,E,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,,93
2021,E,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,,95
2022,E,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,,94
2023,E,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,,93
2010,N,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine [3.b.1],The HPV vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),The HPV vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),NaN
2011,N,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine [3.b.1],The HPV vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),The HPV vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),NaN
2012,N,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine [3.b.1],The HPV vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),The HPV vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),NaN
2013,N,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine [3.b.1],The HPV vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),The HPV vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),NaN
2014,N,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine [3.b.1],The HPV vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),The HPV vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),NaN
2015,N,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine [3.b.1],The HPV vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),The HPV vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),NaN
2016,N,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine [3.b.1],The HPV vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),The HPV vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),NaN
2017,N,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine [3.b.1],The HPV vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),The HPV vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),NaN
2018,N,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine [3.b.1],The HPV vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),The HPV vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),NaN
2019,N,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine [3.b.1],The HPV vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),The HPV vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),NaN
2020,E,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine [3.b.1],,The HPV vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),16
2021,E,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine [3.b.1],,The HPV vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),45
2022,E,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine [3.b.1],,The HPV vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),17
2023,E,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine [3.b.1],,The HPV vaccine has not been introduced in the national immunization schedule in the given country (or  group of countries),33
2000,N,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),NaN
2001,N,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),NaN
2002,N,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),NaN
2003,N,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),NaN
2004,N,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),NaN
2005,N,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),NaN
2006,N,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),NaN
2007,N,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),NaN
2008,N,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),NaN
2009,N,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),NaN
2010,N,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),NaN
2011,N,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),NaN
2012,N,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),NaN
2013,N,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),NaN
2014,N,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),NaN
2015,E,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],,MCV2 have not been introduced in the national immunization schedule in the given country (or  group of countries),28
