Year,COMMENT_OBS,SDG Series,Observation-level footnotes,Value
2000,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",63.980581
2001,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",93.159766
2002,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",44.871495
2003,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",37.832001
2004,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",38.860837
2005,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",62.082964
2006,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",118.262317
2007,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",75.256554
2008,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",94.697882
2009,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",137.72052
