Year,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Sex,Age,Disability status,Source details,Value
2005,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,HIES - Household Budget Survey,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,15 years old and over,,HS - Continuous household survey,9.96
2009,,PC - Population Census,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,15 years old and over,,HS - Continuous household survey,9.6
2016,Repository: ILO-STATISTICS - Micro data processing,HIES - Household Budget Survey,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,15 years old and over,,HS - Continuous household survey,2.76
2019,Repository: ILO-STATISTICS - Micro data processing,HS - Continuous household survey,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,15 years old and over,,HS - Continuous household survey,5.01
2021,Repository: ILO-STATISTICS - Micro data processing,HS - Continuous household survey,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,15 years old and over,,HS - Continuous household survey,5.69
2005,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,HIES - Household Budget Survey,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,25 years old and over,,HS - Continuous household survey,6.87
2016,Repository: ILO-STATISTICS - Micro data processing,HIES - Household Budget Survey,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,25 years old and over,,HS - Continuous household survey,1.56
2019,Repository: ILO-STATISTICS - Micro data processing,HS - Continuous household survey,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,25 years old and over,,HS - Continuous household survey,3.35
2021,Repository: ILO-STATISTICS - Micro data processing,HS - Continuous household survey,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,25 years old and over,,HS - Continuous household survey,4.31
2005,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,HIES - Household Budget Survey,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,15 to 24 years old,,HS - Continuous household survey,19.65
2016,Repository: ILO-STATISTICS - Micro data processing,HIES - Household Budget Survey,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,15 to 24 years old,,HS - Continuous household survey,7.36
2019,Repository: ILO-STATISTICS - Micro data processing,HS - Continuous household survey,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,15 to 24 years old,,HS - Continuous household survey,12.85
2021,Repository: ILO-STATISTICS - Micro data processing,HS - Continuous household survey,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,15 to 24 years old,,HS - Continuous household survey,12.43
