Year,UNIT_MULT,SOURCE_DETAIL,SDG Series,Economic activity,Unit of measure,Unit multiplier,Source details,BASE_PER,Base period,Value
2000,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,8.06
2001,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,7.31
2002,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,7.01
2003,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,6.06
2004,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,6.8
2005,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,7.65
2006,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,8.63
2007,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,8.55
2008,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,8.96
2009,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,10.73
2010,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,11.5
2011,6,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,11.62
