Year,Value
2000,17.3021745578641
2001,12.4322904425072
2002,13.6615458898483
2003,14.4781446997628
2004,7.38752998043335
2005,9.46287965934956
2006,6.75714934570732
2007,5.9262519627215
2008,4.63878497307047
2009,4.83274300691578
2010,4.13252245505471
2011,4.01106462245393
2012,4.36696225497091
2013,4.39521003553895
2014,10.9803114705489
2015,6.97988902169891
2016,8.37974777858253
2017,12.2072154077007
2018,20.8741614009173
2019,35.4025354548448
2020,26.3581100497221
2021,18.4392929567832
2022,21.6673684783421
2023,27.4476625549539
