Year,COMMENT_OBS,Value
2000,"Commitments, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.757411
2001,"Commitments, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.637307
2002,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.530792
2003,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.952584
2004,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.655796
2005,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.673576
2006,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.719592
2007,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.519566
2008,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.568851
2009,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.597373
2010,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.678537
2011,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.736424
2012,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.604938
2013,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.531149
2014,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.516914
2015,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.495448
2016,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.32726
2017,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.419207
2018,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.28229
2019,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.313593
2020,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.262839
2021,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.239819
2022,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.253388
2023,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.260726
