Year,Type of product,Value
2005,,62.51488
2010,,71.14844
2015,,74.13574
2016,,71.74884
2017,,71.69178
2018,,72.31447
2019,,70.78455
2020,,67.17323
2021,,65.74627
2022,,65.90909
2023,,64.93578
2005,Agriculture products,57.94286
2010,Agriculture products,64.92766
2015,Agriculture products,64.33204
2016,Agriculture products,64.05549
2017,Agriculture products,67.76365
2018,Agriculture products,67.87194
2019,Agriculture products,65.61054
2020,Agriculture products,63.49641
2021,Agriculture products,63.57431
2022,Agriculture products,62.10903
2023,Agriculture products,60.24845
2005,Arms,100.0
2010,Arms,83.33333
2015,Arms,0.0
2016,Arms,25.0
2017,Arms,75.0
2018,Arms,75.0
2019,Arms,60.0
2020,Arms,0.0
2021,Arms,50.0
2022,Arms,33.33333
2005,Clothing,44.2623
2010,Clothing,57.70202
2015,Clothing,53.63436
2016,Clothing,48.7041
2017,Clothing,47.18805
2018,Clothing,48.64621
2019,Clothing,47.5478
2020,Clothing,49.02954
2021,Clothing,43.21075
2022,Clothing,44.16776
2023,Clothing,43.36983
2005,Industrial products,65.33901
2010,Industrial products,73.9839
2015,Industrial products,79.39027
2016,Industrial products,77.17647
2017,Industrial products,76.0055
2018,Industrial products,76.69269
2019,Industrial products,75.12538
2020,Industrial products,70.52662
2021,Industrial products,69.80381
2022,Industrial products,70.61518
2023,Industrial products,70.19084
2005,Oil,100.0
2010,Oil,50.0
2015,Oil,100.0
2016,Oil,100.0
2017,Oil,100.0
2018,Oil,100.0
2019,Oil,100.0
2020,Oil,50.0
2021,Oil,100.0
2022,Oil,50.0
2023,Oil,100.0
2005,Textiles,55.48686
2010,Textiles,66.02476
2015,Textiles,66.8254
2016,Textiles,62.88344
2017,Textiles,68.34239
2018,Textiles,68.21282
2019,Textiles,69.874
2020,Textiles,64.79648
2021,Textiles,61.35593
2022,Textiles,61.45833
2023,Textiles,60.42654
