Year,SDG Series,Type of product,Unit of measure,BASE_PER,Base period,Value
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,3.80056
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,3.84714
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,2.82722
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,2.73042
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,2.79886
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,3.03785
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,3.03005
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,3.70315
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,3.59602
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,3.61763
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,3.81881
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,3.5368
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,3.79993
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,3.90889
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,3.74288
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,4.20665
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,4.00636
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,3.70708
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,4.02828
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,4.19433
2020,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,4.40362
2021,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,4.15986
2022,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,4.15553
2023,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,,4.04903
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,1.30491
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,1.2375
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,0.3211
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,0.24737
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,0.29069
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,0.38766
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,0.42226
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,0.49674
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,0.48778
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,0.61001
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,0.70475
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,0.55626
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,0.79334
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,0.92187
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,0.94283
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,1.17743
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,1.02522
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,0.86418
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,1.08519
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,1.08215
2020,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,1.05335
2021,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,1.09477
2022,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,1.11174
2023,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,,1.10081
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,0.01446
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,0.01753
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,0.01646
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,0.00539
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,0.00665
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,0.01945
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,0.02042
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,0.01637
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,0.02246
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,0.01951
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,0.02049
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,0.01549
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,0.01355
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,0.02442
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,0.01243
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,0.01727
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,,0.01698
