Year,SDG Series,Type of product,Value
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,6.2742
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,6.207
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,6.8723
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,6.86508
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,6.40446
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,6.40525
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,6.39364
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,6.36504
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,6.7367
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,6.28325
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,6.33629
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,5.59221
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,5.59068
2021,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,5.57321
2022,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,5.30542
2023,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,5.30222
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,5.08176
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,6.06766
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,7.41215
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,7.38522
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,6.20322
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,6.21042
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,6.20002
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,6.18417
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,7.27264
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,5.934
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,5.98858
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,5.93184
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,5.93374
2021,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,5.92977
2022,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,5.83107
2023,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,5.82854
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,1.94804
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,1.94314
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,1.94332
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,1.94181
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,1.94181
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,1.94181
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,1.94174
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,1.94174
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,1.94182
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,1.70627
