Year,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Nature of data points,Observation-level footnotes,Source details,Value
2019,_X,Data not available,NA,Countries with national statistical plans with funding from donors (1 = YES; 0 = NO) [17.18.3],Country Data,Observation value represents the number of countries with national statistical plans with funding from donors,PARIS21 SDG Survey,NaN
2020,_X,Data not available,NA,Countries with national statistical plans with funding from donors (1 = YES; 0 = NO) [17.18.3],Country Data,Observation value represents the number of countries with national statistical plans with funding from donors,PARIS21 SDG Survey,NaN
2021,_X,Data not available,NA,Countries with national statistical plans with funding from donors (1 = YES; 0 = NO) [17.18.3],Country Data,Observation value represents the number of countries with national statistical plans with funding from donors,PARIS21 SDG Survey,NaN
2022,C,Observation value represents the number of countries with national statistical plans with funding from donors,PARIS21 SDG Survey,Countries with national statistical plans with funding from donors (1 = YES; 0 = NO) [17.18.3],Country Data,Observation value represents the number of countries with national statistical plans with funding from donors,PARIS21 SDG Survey,1
2023,C,Observation value represents the number of countries with national statistical plans with funding from donors,PARIS21 SDG Survey,Countries with national statistical plans with funding from donors (1 = YES; 0 = NO) [17.18.3],Country Data,Observation value represents the number of countries with national statistical plans with funding from donors,PARIS21 SDG Survey,1
2024,C,Observation value represents the number of countries with national statistical plans with funding from donors,PARIS21 SDG Survey,Countries with national statistical plans with funding from donors (1 = YES; 0 = NO) [17.18.3],Country Data,Observation value represents the number of countries with national statistical plans with funding from donors,PARIS21 SDG Survey,1
2019,_X,Data not available,NA,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO) [17.18.3],Country Data,Observation value represents the number of countries with national statistical plans with funding from donors,PARIS21 SDG Survey,NaN
2020,_X,Data not available,NA,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO) [17.18.3],Country Data,Observation value represents the number of countries with national statistical plans with funding from donors,PARIS21 SDG Survey,NaN
2021,_X,Data not available,NA,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO) [17.18.3],Country Data,Observation value represents the number of countries with national statistical plans with funding from donors,PARIS21 SDG Survey,NaN
2022,C,Observation value represents the number of countries with national statistical plans with funding from donors,PARIS21 SDG Survey,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO) [17.18.3],Country Data,Observation value represents the number of countries with national statistical plans with funding from donors,PARIS21 SDG Survey,1
2023,C,Observation value represents the number of countries with national statistical plans with funding from donors,PARIS21 SDG Survey,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO) [17.18.3],Country Data,Observation value represents the number of countries with national statistical plans with funding from donors,PARIS21 SDG Survey,1
2024,C,Observation value represents the number of countries with national statistical plans with funding from donors,PARIS21 SDG Survey,Countries with national statistical plans with funding from Government (1 = YES; 0 = NO) [17.18.3],Country Data,Observation value represents the number of countries with national statistical plans with funding from donors,PARIS21 SDG Survey,1
2019,_X,Data not available,NA,Countries with national statistical plans with funding from others (1 = YES; 0 = NO) [17.18.3],Not Available,Data not available,NA,NaN
2020,_X,Data not available,NA,Countries with national statistical plans with funding from others (1 = YES; 0 = NO) [17.18.3],Not Available,Data not available,NA,NaN
