Year,SOURCE_DETAIL,Sex,Degree of urbanisation,Income or wealth quantile,Education level,Observation-level footnotes,COMMENT_OBS,Value
2000,Kenya MICS 2000 (GEMR). Data extracted on 25 February 2025.,,,,Primary education,,,63.11
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,,Primary education,,,55.18279
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,,Primary education,,,78.43454
2009,"Kenya Population and Housing Census 2009. IPUMS-International, National Bureau of Statistics. Data extracted on 25 February 2025.",,,,Primary education,,,59.18861
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,,Primary education,,,84.14092
2019,Kenya Continuous Household Survey Programme (KCHSP) 2019. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,,,,Primary education,,,80.4322
2020,Kenya Continuous Household Survey Programme (KCHSP) 2020. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,,,,Primary education,,,77.74045
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,,Primary education,,,90.47677
2000,Kenya MICS 2000 (GEMR). Data extracted on 25 February 2025.,,,,Lower secondary education,,,44.41
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,,Lower secondary education,,,37.53115
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,,Lower secondary education,,,61.24576
2009,"Kenya Population and Housing Census 2009. IPUMS-International, National Bureau of Statistics. Data extracted on 25 February 2025.",,,,Lower secondary education,,,47.47549
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,,Lower secondary education,,,70.51127
2019,Kenya Continuous Household Survey Programme (KCHSP) 2019. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,,,,Lower secondary education,,,72.00046
2020,Kenya Continuous Household Survey Programme (KCHSP) 2020. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,,,,Lower secondary education,,,71.41106
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,,Lower secondary education,,,83.66567
2000,Kenya MICS 2000 (GEMR). Data extracted on 25 February 2025.,,,,Upper secondary education,,,24.66
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,,Upper secondary education,,,24.70011
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,,Upper secondary education,,,31.06575
2009,"Kenya Population and Housing Census 2009. IPUMS-International, National Bureau of Statistics. Data extracted on 25 February 2025.",,,,Upper secondary education,,,26.53453
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,,Upper secondary education,,,42.32334
2019,Kenya Continuous Household Survey Programme (KCHSP) 2019. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,,,,Upper secondary education,,,55.60823
2020,Kenya Continuous Household Survey Programme (KCHSP) 2020. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,,,,Upper secondary education,,,50.17074
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,,Upper secondary education,,,58.86249
2000,Kenya MICS 2000 (GEMR). Data extracted on 25 February 2025.,,,Quintile 1 (poorest),Primary education,,,40.61
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 1 (poorest),Primary education,,,28.9483
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 1 (poorest),Primary education,,,57.62935
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 1 (poorest),Primary education,,,63.13889
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 1 (poorest),Primary education,,,77.98563
2000,Kenya MICS 2000 (GEMR). Data extracted on 25 February 2025.,,,Quintile 1 (poorest),Lower secondary education,,,22.46
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 1 (poorest),Lower secondary education,,,12.51046
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 1 (poorest),Lower secondary education,,,33.15288
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 1 (poorest),Lower secondary education,,,41.72228
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 1 (poorest),Lower secondary education,,,64.22663
2000,Kenya MICS 2000 (GEMR). Data extracted on 25 February 2025.,,,Quintile 1 (poorest),Upper secondary education,,,6.62
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 1 (poorest),Upper secondary education,,,6.5169
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 1 (poorest),Upper secondary education,,,6.23844
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 1 (poorest),Upper secondary education,,,11.17365
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 1 (poorest),Upper secondary education,,,21.9987
2000,Kenya MICS 2000 (GEMR). Data extracted on 25 February 2025.,,,Quintile 2,Primary education,,,57.35
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 2,Primary education,,,49.7252
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 2,Primary education,,,75.0947
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 2,Primary education,,,80.37177
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 2,Primary education,,,93.30038
2000,Kenya MICS 2000 (GEMR). Data extracted on 25 February 2025.,,,Quintile 2,Lower secondary education,,,35.16
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 2,Lower secondary education,,,29.32552
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 2,Lower secondary education,,,54.99377
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 2,Lower secondary education,,,59.40953
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 2,Lower secondary education,,,83.24885
2000,Kenya MICS 2000 (GEMR). Data extracted on 25 February 2025.,,,Quintile 2,Upper secondary education,,,14.56
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 2,Upper secondary education,,,11.00715
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 2,Upper secondary education,,,12.70786
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 2,Upper secondary education,,,21.57345
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 2,Upper secondary education,,,39.95431
2000,Kenya MICS 2000 (GEMR). Data extracted on 25 February 2025.,,,Quintile 3,Primary education,,,66.5
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 3,Primary education,,,58.19842
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 3,Primary education,,,83.63112
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 3,Primary education,,,88.47791
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 3,Primary education,,,93.55786
2000,Kenya MICS 2000 (GEMR). Data extracted on 25 February 2025.,,,Quintile 3,Lower secondary education,,,38.64
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 3,Lower secondary education,,,32.80984
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 3,Lower secondary education,,,59.51367
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 3,Lower secondary education,,,73.3331
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 3,Lower secondary education,,,87.41363
2000,Kenya MICS 2000 (GEMR). Data extracted on 25 February 2025.,,,Quintile 3,Upper secondary education,,,17.62
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 3,Upper secondary education,,,14.69553
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 3,Upper secondary education,,,24.11664
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 3,Upper secondary education,,,33.19654
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 3,Upper secondary education,,,53.3476
2000,Kenya MICS 2000 (GEMR). Data extracted on 25 February 2025.,,,Quintile 4,Primary education,,,77.36
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 4,Primary education,,,68.07381
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 4,Primary education,,,88.52525
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 4,Primary education,,,93.16161
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 4,Primary education,,,96.21752
2000,Kenya MICS 2000 (GEMR). Data extracted on 25 February 2025.,,,Quintile 4,Lower secondary education,,,56.13
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 4,Lower secondary education,,,46.98766
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 4,Lower secondary education,,,70.47282
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 4,Lower secondary education,,,82.96194
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 4,Lower secondary education,,,93.15224
2000,Kenya MICS 2000 (GEMR). Data extracted on 25 February 2025.,,,Quintile 4,Upper secondary education,,,31.06
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 4,Upper secondary education,,,27.54479
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 4,Upper secondary education,,,37.05539
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 4,Upper secondary education,,,49.60619
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 4,Upper secondary education,,,72.32098
2000,Kenya MICS 2000 (GEMR). Data extracted on 25 February 2025.,,,Quintile 5 (richest),Primary education,,,80.93
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 5 (richest),Primary education,,,78.37828
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 5 (richest),Primary education,,,89.82367
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 5 (richest),Primary education,,,96.54153
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 5 (richest),Primary education,,,94.49035
2000,Kenya MICS 2000 (GEMR). Data extracted on 25 February 2025.,,,Quintile 5 (richest),Lower secondary education,,,72.42
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 5 (richest),Lower secondary education,,,67.56985
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 5 (richest),Lower secondary education,,,84.80656
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 5 (richest),Lower secondary education,,,92.15058
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 5 (richest),Lower secondary education,,,92.8459
2000,Kenya MICS 2000 (GEMR). Data extracted on 25 February 2025.,,,Quintile 5 (richest),Upper secondary education,,,49.62
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 5 (richest),Upper secondary education,,,43.66517
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,,Quintile 5 (richest),Upper secondary education,,,53.09655
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 5 (richest),Upper secondary education,,,70.69933
2022,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,,Quintile 5 (richest),Upper secondary education,,,81.94074
2000,Kenya MICS 2000 (GEMR). Data extracted on 25 February 2025.,,Rural,,Primary education,,,59.14
2003,Kenya DHS 2003. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Rural,,Primary education,,,52.38509
2008,Kenya DHS 2008-09. The survey collected data on school attendance for age 4-24 and educational attainment for age 4 and above. Data extracted on 25 February 2025.,,Rural,,Primary education,,,76.89919
2009,"Kenya Population and Housing Census 2009. IPUMS-International, National Bureau of Statistics. Data extracted on 25 February 2025.",,Rural,,Primary education,,,53.15351
2014,Kenya DHS 2014. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,,Rural,,Primary education,,,81.12985
2019,Kenya Continuous Household Survey Programme (KCHSP) 2019. The survey collected data on school attendance and attainment for age 3 and above. Data extracted on 25 February 2025.,,Rural,,Primary education,,,78.30501
