Year,SOURCE_DETAIL,SDG Series,Sex,Unit of measure,Source details,COMMENT_OBS,Observation-level footnotes,Value
2018,Administrative data on 2017 election results provided by the National Statistical Office. Compiled by UNECA African Centre for Statistics and UN Women.,Proportion of elected seats held by women in deliberative bodies of local government [5.5.1],Female,Percent,Administrative data on 2017 election results provided by the National Statistical Office. Compiled by UNECA African Centre for Statistics and UN Women.,,,33.54317
2000,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Inter-Parliamentary Union (IPU), Parline Database",Annual data as of 1 Feb of given year.,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",3.57
2001,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Inter-Parliamentary Union (IPU), Parline Database",Annual data as of 1 Feb of given year.,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",3.57
2002,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Inter-Parliamentary Union (IPU), Parline Database",Annual data as of 1 Feb of given year.,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",3.57
2003,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Inter-Parliamentary Union (IPU), Parline Database",Annual data as of 1 Feb of given year.,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.14
2004,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Inter-Parliamentary Union (IPU), Parline Database",Annual data as of 1 Feb of given year.,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.14
2005,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Inter-Parliamentary Union (IPU), Parline Database",Annual data as of 1 Feb of given year.,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.14
2006,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Inter-Parliamentary Union (IPU), Parline Database",Annual data as of 1 Feb of given year.,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.14
2007,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Inter-Parliamentary Union (IPU), Parline Database",Annual data as of 1 Feb of given year.,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.31
2008,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Inter-Parliamentary Union (IPU), Parline Database",Annual data as of 1 Feb of given year.,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.25
