Year,BASE_PER,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Sex,Age,Degree of urbanisation,Base period,Nature of data points,Observation-level footnotes,Source details,Value
1992,2017,G,"Accessed September 19, 2024. Based on data from WMS-I. Estimated from grouped consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 19, 2024. Based on data from KCHS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",26.4
1994,2017,G,"Accessed September 19, 2024. Based on data from WMS-II. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 19, 2024. Based on data from KCHS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",25.9
1997,2017,G,"Accessed September 19, 2024. Based on data from WMS-III. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 19, 2024. Based on data from KCHS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",25.4
2005,2017,G,"Accessed September 19, 2024. Based on data from IHBS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 19, 2024. Based on data from KCHS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",36.7
2015,2017,G,"Accessed September 19, 2024. Based on data from IHBS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 19, 2024. Based on data from KCHS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",29.4
2020,2017,G,"Accessed September 19, 2024. Based on data from KCHS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 19, 2024. Based on data from KCHS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",35.0
2021,2017,G,"Accessed September 19, 2024. Based on data from KCHS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 19, 2024. Based on data from KCHS. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",36.1
2005,2017,G,"Accessed September 19, 2024. Survey name: IHBS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,Rural,2017,Global monitoring data,"Accessed September 19, 2024. Survey name: KCHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",43.29228
2015,2017,G,"Accessed September 19, 2024. Survey name: IHBS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,Rural,2017,Global monitoring data,"Accessed September 19, 2024. Survey name: KCHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",38.87908
2021,2017,G,"Accessed September 19, 2024. Survey name: KCHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,Rural,2017,Global monitoring data,"Accessed September 19, 2024. Survey name: KCHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",46.51922
2005,2017,G,"Accessed September 19, 2024. Survey name: IHBS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,Urban,2017,Global monitoring data,"Accessed September 19, 2024. Survey name: KCHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",10.45626
2015,2017,G,"Accessed September 19, 2024. Survey name: IHBS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,Urban,2017,Global monitoring data,"Accessed September 19, 2024. Survey name: KCHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",12.30646
2021,2017,G,"Accessed September 19, 2024. Survey name: KCHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,Urban,2017,Global monitoring data,"Accessed September 19, 2024. Survey name: KCHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",14.09128
2005,2017,G,"Accessed September 19, 2024. Survey name: IHBS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,65 years old and over,,2017,Global monitoring data,"Accessed September 19, 2024. Survey name: KCHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",35.45071
2015,2017,G,"Accessed September 19, 2024. Survey name: IHBS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,65 years old and over,,2017,Global monitoring data,"Accessed September 19, 2024. Survey name: KCHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",26.35114
2021,2017,G,"Accessed September 19, 2024. Survey name: KCHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,65 years old and over,,2017,Global monitoring data,"Accessed September 19, 2024. Survey name: KCHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",37.50655
2005,2017,G,"Accessed September 19, 2024. Survey name: IHBS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,under 15 years old,,2017,Global monitoring data,"Accessed September 19, 2024. Survey name: KCHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",43.47295
2015,2017,G,"Accessed September 19, 2024. Survey name: IHBS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,under 15 years old,,2017,Global monitoring data,"Accessed September 19, 2024. Survey name: KCHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",37.70111
2021,2017,G,"Accessed September 19, 2024. Survey name: KCHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,under 15 years old,,2017,Global monitoring data,"Accessed September 19, 2024. Survey name: KCHS. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",43.70156
