Year,Degree of urbanisation,Value
2010,,12.37721
2011,,12.42852
2012,,12.46378
2013,,12.44209
2014,,12.46646
2015,,12.49999
2016,,12.52689
2017,,12.51088
2018,,12.58012
2019,,12.52415
2010,City,9.94006
2011,City,9.97743
2012,City,9.97117
2013,City,9.96375
2014,City,9.9834
2015,City,10.00024
2016,City,9.99053
2017,City,10.03891
2018,City,10.02404
2019,City,10.00684
2010,Rural,12.51193
2011,Rural,12.56522
2012,Rural,12.61395
2013,Rural,12.58374
2014,Rural,12.61256
2015,Rural,12.63936
2016,Rural,12.68322
2017,Rural,12.65372
2018,Rural,12.74626
2019,Rural,12.68054
2010,Town and semi-dense area,14.05383
2011,Town and semi-dense area,14.12448
2012,Town and semi-dense area,14.17707
2013,Town and semi-dense area,14.17475
2014,Town and semi-dense area,14.20613
2015,Town and semi-dense area,14.28144
2016,Town and semi-dense area,14.3151
2017,Town and semi-dense area,14.28819
2018,Town and semi-dense area,14.39018
2019,Town and semi-dense area,14.33627
2010,Urban,12.21847
2011,Urban,12.26698
2012,Urban,12.28578
2013,Urban,12.27364
2014,Urban,12.29207
2015,Urban,12.33296
2016,Urban,12.33872
2017,Urban,12.33814
2018,Urban,12.37824
2019,Urban,12.3332
