Year,SOURCE_DETAIL,SDG Series,Source details,Value
2015,"Ministry of Environment, Climate Change and Forestry","Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals (%) [12.4.1]","Ministry of Environment, Climate Change and Forestry",17.0
2020,"Ministry of Environment, Climate Change and Forestry","Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals (%) [12.4.1]","Ministry of Environment, Climate Change and Forestry",20.0
2025,"Ministry of Environment, Climate Change and Forestry","Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals (%) [12.4.1]","Ministry of Environment, Climate Change and Forestry",60.0
2025,Ministry of Environment and Forestry,"Parties meeting their commitments and obligations in transmitting information as required by Minamata Convention on hazardous waste, and other chemicals (%) [12.4.1]",Ministry of Environment and Forestry,33.33
2015,"NATIONAL OZONE UNIT (NOU), MINISTRY OF ENVIRONMENT,CLIMATE CHANGE AND FORESTRY","Parties meeting their commitments and obligations in transmitting information as required by Montreal Protocol on hazardous waste, and other chemicals (%) [12.4.1]","NATIONAL OZONE UNIT (NOU), MINISTRY OF ENVIRONMENT,CLIMATE CHANGE AND FORESTRY",100.0
2020,"NATIONAL OZONE UNIT (NOU), MINISTRY OF ENVIRONMENT,CLIMATE CHANGE AND FORESTRY","Parties meeting their commitments and obligations in transmitting information as required by Montreal Protocol on hazardous waste, and other chemicals (%) [12.4.1]","NATIONAL OZONE UNIT (NOU), MINISTRY OF ENVIRONMENT,CLIMATE CHANGE AND FORESTRY",100.0
2025,"NATIONAL OZONE UNIT (NOU), MINISTRY OF ENVIRONMENT,CLIMATE CHANGE AND FORESTRY","Parties meeting their commitments and obligations in transmitting information as required by Montreal Protocol on hazardous waste, and other chemicals (%) [12.4.1]","NATIONAL OZONE UNIT (NOU), MINISTRY OF ENVIRONMENT,CLIMATE CHANGE AND FORESTRY",90.0
2015,"Ministry of Environment, Climate Change and Forestry","Parties meeting their commitments and obligations in transmitting information as required by Rotterdam Convention on hazardous waste, and other chemicals (%) [12.4.1]","Ministry of Environment, Climate Change and Forestry",63.0
2020,"Ministry of Environment, Climate Change and Forestry","Parties meeting their commitments and obligations in transmitting information as required by Rotterdam Convention on hazardous waste, and other chemicals (%) [12.4.1]","Ministry of Environment, Climate Change and Forestry",57.0
2025,"Ministry of Environment, Climate Change and Forestry","Parties meeting their commitments and obligations in transmitting information as required by Rotterdam Convention on hazardous waste, and other chemicals (%) [12.4.1]","Ministry of Environment, Climate Change and Forestry",68.85
2015,"Ministry of Environment, Climate Change and Forestry","Parties meeting their commitments and obligations in transmitting information as required by Stockholm Convention on hazardous waste, and other chemicals (%) [12.4.1]",World Environment Situation Room,83.0
2020,"Ministry of Environment, Climate Change and Forestry","Parties meeting their commitments and obligations in transmitting information as required by Stockholm Convention on hazardous waste, and other chemicals (%) [12.4.1]",World Environment Situation Room,50.0
2025,World Environment Situation Room,"Parties meeting their commitments and obligations in transmitting information as required by Stockholm Convention on hazardous waste, and other chemicals (%) [12.4.1]",World Environment Situation Room,60.0
