Year,OBS_STATUS,NATURE,SOURCE_DETAIL,SDG Series,Custom Breakdown,Composite breakdown,Unit of measure,Observation status,Nature of data points,Source details,Label for custom breakdown,Value
2017,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (%) [14.1.1],,,Percent,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",,51.92596
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (%) [14.1.1],,,Percent,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",,52.39462
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (%) [14.1.1],,,Percent,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",,52.3709
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (%) [14.1.1],,,Percent,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",,47.49166
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (%) [14.1.1],,,Percent,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",,50.52691
2017,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",,7266.0
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",,7669.0
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",,7941.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",,7403.0
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",,8055.0
2017,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 104,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Myanmar,623.0
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 104,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Myanmar,649.0
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 104,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Myanmar,703.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 104,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Myanmar,723.0
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 104,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Myanmar,860.0
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 104,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Myanmar,844.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 116,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Cambodia,2.0
2017,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 144,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Sri Lanka,284.0
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 144,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Sri Lanka,312.0
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 144,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Sri Lanka,336.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 144,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Sri Lanka,394.0
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 144,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Sri Lanka,359.0
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 144,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Sri Lanka,270.0
2017,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 156,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",China,3.0
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 156,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",China,3.0
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 156,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",China,3.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 156,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",China,4.0
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 156,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",China,3.0
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 156,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",China,3.0
2022,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 175,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Mayotte,2.0
2017,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 232,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Eritrea,8.0
2018,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 232,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Eritrea,9.0
2019,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 232,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Eritrea,15.0
2020,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 232,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Eritrea,18.0
2021,A,M,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],Custom code 232,,Metric Tons,Normal value,Modeled,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",Eritrea,15.0
