Year,OBS_STATUS,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Custom Breakdown,Composite breakdown,Unit of measure,Observation status,Nature of data points,Observation-level footnotes,Source details,Label for custom breakdown,Value
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Area of degraded mountain land (square kilometres) [15.4.2],,,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,6254.1
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Area of degraded mountain land (square kilometres) [15.4.2],,,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,8501
2015,M,N,NaN = Not relevant,NA,Area of degraded mountain land (square kilometres) [15.4.2],Custom code 01,,Square kilometers,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2021,M,N,NaN = Not relevant,NA,Area of degraded mountain land (square kilometres) [15.4.2],Custom code 01,,Square kilometers,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Area of degraded mountain land (square kilometres) [15.4.2],Custom code 02,,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.9
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Area of degraded mountain land (square kilometres) [15.4.2],Custom code 02,,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,1.1
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Area of degraded mountain land (square kilometres) [15.4.2],Custom code 03,,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,974.6
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Area of degraded mountain land (square kilometres) [15.4.2],Custom code 03,,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,1308.5
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Area of degraded mountain land (square kilometres) [15.4.2],Custom code 04,,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,5278.6
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Area of degraded mountain land (square kilometres) [15.4.2],Custom code 04,,Square kilometers,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,7191.4
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Proportion of degraded mountain land (%) [15.4.2],,,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,4.4
2021,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Proportion of degraded mountain land (%) [15.4.2],,,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,5.9
2015,M,N,NaN = Not relevant,NA,Proportion of degraded mountain land (%) [15.4.2],Custom code 01,,Percent,Missing value; data cannot exist,Non-relevant,NaN = Not relevant,NA,Nival,NaN
