Year,UPPER_BOUND,LOWER_BOUND,Value
2000,281.04591,169.84623,220.85286
2001,303.73325,195.61445,245.44964
2002,287.86475,182.50511,230.66486
2003,281.2938,175.26371,224.04871
2004,244.48778,139.97451,186.64437
2005,186.80856,103.11391,139.90159
2006,140.20295,75.77467,104.61907
2007,106.20508,57.12752,78.53995
2008,88.19783,47.91232,65.87305
2009,85.95034,47.15748,64.22789
2010,88.47648,48.90856,66.53364
2011,90.86659,50.83849,68.71365
2012,94.39272,51.44225,70.55896
2013,96.28303,52.04616,72.08089
2014,96.02439,52.30612,71.61824
2015,93.64701,50.43921,69.3656
2016,89.20984,45.69992,64.79533
2017,89.85021,44.49336,64.07433
2018,85.94425,42.34897,61.17636
2019,81.95962,40.56339,58.68428
2020,82.96898,45.18314,61.8613
2021,95.67862,40.38833,63.68773
2022,106.78458,33.24184,62.09361
2023,107.77422,29.42343,59.52802
