Year,SDG Series,Degree of urbanisation,Value
2000,Proportion of population practicing open defecation [6.2.1],,18.37885
2001,Proportion of population practicing open defecation [6.2.1],,17.80468
2002,Proportion of population practicing open defecation [6.2.1],,17.23316
2003,Proportion of population practicing open defecation [6.2.1],,16.66435
2004,Proportion of population practicing open defecation [6.2.1],,16.09834
2005,Proportion of population practicing open defecation [6.2.1],,15.53553
2006,Proportion of population practicing open defecation [6.2.1],,14.97565
2007,Proportion of population practicing open defecation [6.2.1],,14.41877
2008,Proportion of population practicing open defecation [6.2.1],,13.86498
2009,Proportion of population practicing open defecation [6.2.1],,13.31463
2010,Proportion of population practicing open defecation [6.2.1],,12.7675
2011,Proportion of population practicing open defecation [6.2.1],,12.22298
2012,Proportion of population practicing open defecation [6.2.1],,11.68136
2013,Proportion of population practicing open defecation [6.2.1],,11.14253
2014,Proportion of population practicing open defecation [6.2.1],,10.60689
2015,Proportion of population practicing open defecation [6.2.1],,10.07448
2016,Proportion of population practicing open defecation [6.2.1],,9.54543
2017,Proportion of population practicing open defecation [6.2.1],,9.01991
2018,Proportion of population practicing open defecation [6.2.1],,8.49797
2019,Proportion of population practicing open defecation [6.2.1],,7.97997
2020,Proportion of population practicing open defecation [6.2.1],,7.46587
2021,Proportion of population practicing open defecation [6.2.1],,6.95591
2022,Proportion of population practicing open defecation [6.2.1],,6.45018
2000,Proportion of population practicing open defecation [6.2.1],Rural,22.1796
2001,Proportion of population practicing open defecation [6.2.1],Rural,21.56833
2002,Proportion of population practicing open defecation [6.2.1],Rural,20.95706
2003,Proportion of population practicing open defecation [6.2.1],Rural,20.34579
2004,Proportion of population practicing open defecation [6.2.1],Rural,19.73452
2005,Proportion of population practicing open defecation [6.2.1],Rural,19.12324
2006,Proportion of population practicing open defecation [6.2.1],Rural,18.51197
2007,Proportion of population practicing open defecation [6.2.1],Rural,17.9007
2008,Proportion of population practicing open defecation [6.2.1],Rural,17.28943
2009,Proportion of population practicing open defecation [6.2.1],Rural,16.67816
2010,Proportion of population practicing open defecation [6.2.1],Rural,16.06688
2011,Proportion of population practicing open defecation [6.2.1],Rural,15.45561
2012,Proportion of population practicing open defecation [6.2.1],Rural,14.84434
2013,Proportion of population practicing open defecation [6.2.1],Rural,14.23307
2014,Proportion of population practicing open defecation [6.2.1],Rural,13.6218
2015,Proportion of population practicing open defecation [6.2.1],Rural,13.01053
2016,Proportion of population practicing open defecation [6.2.1],Rural,12.39925
2017,Proportion of population practicing open defecation [6.2.1],Rural,11.78798
2018,Proportion of population practicing open defecation [6.2.1],Rural,11.17671
2019,Proportion of population practicing open defecation [6.2.1],Rural,10.56544
2020,Proportion of population practicing open defecation [6.2.1],Rural,9.95417
2021,Proportion of population practicing open defecation [6.2.1],Rural,9.34289
2022,Proportion of population practicing open defecation [6.2.1],Rural,8.73162
2000,Proportion of population practicing open defecation [6.2.1],Urban,3.07265
2001,Proportion of population practicing open defecation [6.2.1],Urban,2.97231
2002,Proportion of population practicing open defecation [6.2.1],Urban,2.87196
2003,Proportion of population practicing open defecation [6.2.1],Urban,2.77162
2004,Proportion of population practicing open defecation [6.2.1],Urban,2.67128
2005,Proportion of population practicing open defecation [6.2.1],Urban,2.57094
2006,Proportion of population practicing open defecation [6.2.1],Urban,2.47059
2007,Proportion of population practicing open defecation [6.2.1],Urban,2.37025
2008,Proportion of population practicing open defecation [6.2.1],Urban,2.26991
2009,Proportion of population practicing open defecation [6.2.1],Urban,2.16956
2010,Proportion of population practicing open defecation [6.2.1],Urban,2.06922
2011,Proportion of population practicing open defecation [6.2.1],Urban,1.96888
2012,Proportion of population practicing open defecation [6.2.1],Urban,1.86854
2013,Proportion of population practicing open defecation [6.2.1],Urban,1.76819
2014,Proportion of population practicing open defecation [6.2.1],Urban,1.66785
2015,Proportion of population practicing open defecation [6.2.1],Urban,1.56751
2016,Proportion of population practicing open defecation [6.2.1],Urban,1.46716
2017,Proportion of population practicing open defecation [6.2.1],Urban,1.36682
2018,Proportion of population practicing open defecation [6.2.1],Urban,1.26648
2019,Proportion of population practicing open defecation [6.2.1],Urban,1.16614
2020,Proportion of population practicing open defecation [6.2.1],Urban,1.06579
2021,Proportion of population practicing open defecation [6.2.1],Urban,0.96545
2022,Proportion of population practicing open defecation [6.2.1],Urban,0.86511
2011,Proportion of population with basic handwashing facilities on premises [6.2.1],,37.08688
2012,Proportion of population with basic handwashing facilities on premises [6.2.1],,37.12831
2013,Proportion of population with basic handwashing facilities on premises [6.2.1],,37.17087
2014,Proportion of population with basic handwashing facilities on premises [6.2.1],,37.21434
2015,Proportion of population with basic handwashing facilities on premises [6.2.1],,37.25882
2016,Proportion of population with basic handwashing facilities on premises [6.2.1],,37.30432
2017,Proportion of population with basic handwashing facilities on premises [6.2.1],,37.35085
2018,Proportion of population with basic handwashing facilities on premises [6.2.1],,37.39849
2019,Proportion of population with basic handwashing facilities on premises [6.2.1],,37.44705
2020,Proportion of population with basic handwashing facilities on premises [6.2.1],,37.49672
2021,Proportion of population with basic handwashing facilities on premises [6.2.1],,37.54742
2022,Proportion of population with basic handwashing facilities on premises [6.2.1],,37.59924
2011,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,34.64686
2012,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,34.64686
2013,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,34.64686
2014,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,34.64686
2015,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,34.64686
2016,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,34.64686
2017,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,34.64686
2018,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,34.64686
2019,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,34.64686
2020,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,34.64686
2021,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,34.64686
2022,Proportion of population with basic handwashing facilities on premises [6.2.1],Rural,34.64686
2011,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,44.82677
2012,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,44.82677
2013,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,44.82677
2014,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,44.82677
2015,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,44.82677
2016,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,44.82677
2017,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,44.82677
2018,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,44.82677
2019,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,44.82677
2020,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,44.82677
2021,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,44.82677
2022,Proportion of population with basic handwashing facilities on premises [6.2.1],Urban,44.82677
2000,Proportion of population using safely managed sanitation services [6.2.1],,24.46713
2001,Proportion of population using safely managed sanitation services [6.2.1],,24.76418
2002,Proportion of population using safely managed sanitation services [6.2.1],,25.10331
2003,Proportion of population using safely managed sanitation services [6.2.1],,25.44396
2004,Proportion of population using safely managed sanitation services [6.2.1],,25.78617
2005,Proportion of population using safely managed sanitation services [6.2.1],,26.1301
2006,Proportion of population using safely managed sanitation services [6.2.1],,26.47569
2007,Proportion of population using safely managed sanitation services [6.2.1],,26.823
2008,Proportion of population using safely managed sanitation services [6.2.1],,27.136
2009,Proportion of population using safely managed sanitation services [6.2.1],,27.4465
2010,Proportion of population using safely managed sanitation services [6.2.1],,27.75734
2011,Proportion of population using safely managed sanitation services [6.2.1],,28.06828
2012,Proportion of population using safely managed sanitation services [6.2.1],,28.37939
2013,Proportion of population using safely managed sanitation services [6.2.1],,28.69057
2014,Proportion of population using safely managed sanitation services [6.2.1],,29.00193
2015,Proportion of population using safely managed sanitation services [6.2.1],,29.31343
2016,Proportion of population using safely managed sanitation services [6.2.1],,29.6251
2017,Proportion of population using safely managed sanitation services [6.2.1],,29.93693
2018,Proportion of population using safely managed sanitation services [6.2.1],,30.2489
2019,Proportion of population using safely managed sanitation services [6.2.1],,30.56111
2020,Proportion of population using safely managed sanitation services [6.2.1],,30.87349
2021,Proportion of population using safely managed sanitation services [6.2.1],,31.1861
2022,Proportion of population using safely managed sanitation services [6.2.1],,31.4989
2000,Proportion of population using safely managed sanitation services [6.2.1],Rural,25.50363
2001,Proportion of population using safely managed sanitation services [6.2.1],Rural,25.8233
2002,Proportion of population using safely managed sanitation services [6.2.1],Rural,26.16286
2003,Proportion of population using safely managed sanitation services [6.2.1],Rural,26.5029
2004,Proportion of population using safely managed sanitation services [6.2.1],Rural,26.84342
2005,Proportion of population using safely managed sanitation services [6.2.1],Rural,27.18444
2006,Proportion of population using safely managed sanitation services [6.2.1],Rural,27.52593
2007,Proportion of population using safely managed sanitation services [6.2.1],Rural,27.86792
2008,Proportion of population using safely managed sanitation services [6.2.1],Rural,28.20724
2009,Proportion of population using safely managed sanitation services [6.2.1],Rural,28.54329
2010,Proportion of population using safely managed sanitation services [6.2.1],Rural,28.87981
2011,Proportion of population using safely managed sanitation services [6.2.1],Rural,29.21681
2012,Proportion of population using safely managed sanitation services [6.2.1],Rural,29.55429
2013,Proportion of population using safely managed sanitation services [6.2.1],Rural,29.89224
2014,Proportion of population using safely managed sanitation services [6.2.1],Rural,30.23067
2015,Proportion of population using safely managed sanitation services [6.2.1],Rural,30.56958
2016,Proportion of population using safely managed sanitation services [6.2.1],Rural,30.90896
2017,Proportion of population using safely managed sanitation services [6.2.1],Rural,31.24881
2018,Proportion of population using safely managed sanitation services [6.2.1],Rural,31.58914
2019,Proportion of population using safely managed sanitation services [6.2.1],Rural,31.92995
2020,Proportion of population using safely managed sanitation services [6.2.1],Rural,32.27123
2021,Proportion of population using safely managed sanitation services [6.2.1],Rural,32.61299
2022,Proportion of population using safely managed sanitation services [6.2.1],Rural,32.95523
2000,Proportion of population using safely managed sanitation services [6.2.1],Urban,20.293
2001,Proportion of population using safely managed sanitation services [6.2.1],Urban,20.59024
2002,Proportion of population using safely managed sanitation services [6.2.1],Urban,21.01718
2003,Proportion of population using safely managed sanitation services [6.2.1],Urban,21.44781
2004,Proportion of population using safely managed sanitation services [6.2.1],Urban,21.88214
2005,Proportion of population using safely managed sanitation services [6.2.1],Urban,22.32015
2006,Proportion of population using safely managed sanitation services [6.2.1],Urban,22.76186
2007,Proportion of population using safely managed sanitation services [6.2.1],Urban,23.20726
2008,Proportion of population using safely managed sanitation services [6.2.1],Urban,23.50881
2009,Proportion of population using safely managed sanitation services [6.2.1],Urban,23.8123
2010,Proportion of population using safely managed sanitation services [6.2.1],Urban,24.11772
2011,Proportion of population using safely managed sanitation services [6.2.1],Urban,24.42508
2012,Proportion of population using safely managed sanitation services [6.2.1],Urban,24.73437
2013,Proportion of population using safely managed sanitation services [6.2.1],Urban,25.0456
2014,Proportion of population using safely managed sanitation services [6.2.1],Urban,25.35877
2015,Proportion of population using safely managed sanitation services [6.2.1],Urban,25.67387
2016,Proportion of population using safely managed sanitation services [6.2.1],Urban,25.99091
2017,Proportion of population using safely managed sanitation services [6.2.1],Urban,26.30988
2018,Proportion of population using safely managed sanitation services [6.2.1],Urban,26.63078
2019,Proportion of population using safely managed sanitation services [6.2.1],Urban,26.95363
2020,Proportion of population using safely managed sanitation services [6.2.1],Urban,27.2784
2021,Proportion of population using safely managed sanitation services [6.2.1],Urban,27.60512
2022,Proportion of population using safely managed sanitation services [6.2.1],Urban,27.93377
